,drug_row,drug_col,cell_line_name,synergy_bliss
240127,4081.0,4212.0,66.0,4.50732474832699
288275,3938.0,2046.0,88.0,-1.6609682453486
78083,602.0,787.0,20.0,1.85038478398679
78555,219.0,282.0,22.0,0.780791170317298
70420,2048.0,3311.0,12.0,42.5327399273847
619442,4166.0,779.0,137.0,1.15225577312334
288136,3520.0,3941.0,86.0,3.8324232796346
76488,2045.0,546.0,14.0,-6.91053380519188
620096,4166.0,737.0,142.0,-2.60251147013557
620804,3311.0,737.0,145.0,0.0723303735946265
78378,219.0,2045.0,21.0,0.602274408827369
620268,467.0,3078.0,143.0,21.7035591600708
217960,3938.0,371.0,55.0,213.443859606411
619410,467.0,737.0,137.0,-2.10273392015269
240359,160.0,4089.0,67.0,-8.87392316535187
75888,187.0,2890.0,13.0,-3.84043465355535
240045,3938.0,4085.0,65.0,3.01957164692275
287217,3938.0,3941.0,77.0,10.1220448546953
239236,453.0,2050.0,61.0,-2.43246338426127
82568,467.0,3195.0,43.0,-0.960663112420239
81631,779.0,556.0,36.0,5.4004113857111
81739,1321.0,2045.0,37.0,5.41722733151364
287694,3938.0,3078.0,82.0,-4.96954653243976
239181,602.0,554.0,60.0,5.63796449680039
287922,554.0,4088.0,84.0,11.1917644505668
48415,3325.0,3940.0,6.0,6.41775065333827
80571,556.0,282.0,33.0,8.64161011488345
81102,554.0,1867.0,35.0,94.1994889592808
282035,3938.0,3950.0,76.0,0.675663266156495
81119,554.0,356.0,35.0,22.6746725187807
75919,219.0,1321.0,13.0,16.0656631824859
620544,3946.0,282.0,144.0,-1.99906730026249
288779,453.0,3520.0,94.0,3.64895180418115
78508,3078.0,2045.0,22.0,-4.18858817820913
81592,2045.0,3195.0,36.0,-1.1868085020896
53657,187.0,554.0,7.0,-9.9964192221202
77289,160.0,4210.0,16.0,-7.08351130131484
621001,3311.0,554.0,146.0,3.14891092104392
78167,3928.0,2045.0,20.0,6.7095384737265
77303,160.0,359.0,16.0,-0.797262317533849
79613,163.0,663.0,27.0,-4.01342806506002
620290,1923.0,219.0,143.0,-1.84255870730939
79740,602.0,208.0,27.0,-8.43425399915554
76071,779.0,546.0,13.0,6.1462003446225
240044,3938.0,371.0,65.0,-5.67458993047577
80802,3938.0,3941.0,34.0,7.11707808678575
78802,3939.0,330.0,24.0,-2.37781378971424
79572,467.0,1896.0,27.0,0.135193150303765
78054,602.0,453.0,20.0,-1.96931589707204
79969,2045.0,331.0,28.0,-17.3007731750193
287268,330.0,3945.0,78.0,5.501081973841
81280,330.0,546.0,36.0,2.1088394160595
620126,219.0,4207.0,142.0,-6.92576475869642
80405,300.0,2045.0,32.0,8.62629796925399
53763,330.0,2764.0,8.0,-3.60068197055444
76735,3941.0,330.0,15.0,19.0273893607001
620214,3311.0,187.0,142.0,9.78429607436899
78826,3078.0,282.0,24.0,-4.3357715249951
76310,187.0,453.0,14.0,-15.7577914733258
76836,3325.0,2045.0,15.0,0.331220299516606
620622,3325.0,779.0,144.0,3.22455640507783
288889,3945.0,3942.0,95.0,3.48152052688196
77678,187.0,282.0,19.0,3.073680933193
53616,3939.0,282.0,7.0,0.930352977431614
228494,4082.0,3945.0,57.0,-0.605967143010085
619428,1923.0,737.0,137.0,2.1138505491833
54066,2045.0,562.0,8.0,-6.57496713844361
633673,163.0,331.0,9.0,-0.7982882474466516
233820,602.0,554.0,59.0,13.8778739947004
650573,219.0,2045.0,14.0,10.038590371424466
245806,160.0,4087.0,69.0,11.2660552138694
77979,187.0,788.0,20.0,1.63460174876282
620007,219.0,2039.0,141.0,2.48177825156247
77584,3325.0,219.0,18.0,8.43035551551323
75826,163.0,2039.0,13.0,2.23330934102629
620776,2045.0,779.0,145.0,-4.45036439762603
76378,219.0,4210.0,14.0,-22.1336366517594
77950,187.0,546.0,20.0,14.6871626051509
620739,3946.0,779.0,145.0,-0.613796021394766
619943,2045.0,437.0,140.0,3.17448104820463
76187,330.0,2890.0,14.0,-25.6370579850306
79668,187.0,787.0,27.0,0.572984735464499
81869,1867.0,2045.0,38.0,-9.49027130871442
288074,3945.0,229.0,86.0,4.53162228945896
619062,187.0,4208.0,135.0,-2.34226183687229
77193,2045.0,282.0,16.0,-3.3028540860273
75865,187.0,2039.0,13.0,-8.20363946978553
81052,602.0,331.0,35.0,366.364808847937
81340,467.0,748.0,36.0,-2.93487298375272
287635,282.0,4216.0,81.0,3.0157478942387
81589,2045.0,737.0,36.0,0.706841817078594
76483,2045.0,281.0,14.0,8.12311185471835
619270,219.0,4208.0,136.0,2.17473173770665
288527,3945.0,3944.0,91.0,-10.1494796427616
288518,467.0,3938.0,91.0,3.66486977216896
80733,3940.0,300.0,34.0,-0.283803207841858
81889,219.0,282.0,38.0,11.901051546794
59697,2045.0,2039.0,9.0,0.98618227908513
240183,554.0,2046.0,66.0,-14.4193610580284
266288,3938.0,453.0,73.0,9.36660898129203
239154,4082.0,3945.0,60.0,0.110171418189309
288616,3945.0,3942.0,92.0,-0.382138075139448
53638,3940.0,219.0,7.0,0.193791494901732
75733,330.0,2622.0,13.0,1.96555058076334
620657,3940.0,4208.0,145.0,-1.23006192623947
80150,3078.0,330.0,30.0,-3.9441705603184
228459,467.0,4214.0,57.0,18.066118341617
287943,160.0,4087.0,84.0,-0.0935849231442062
78480,331.0,300.0,22.0,-1.73899895320561
619991,3325.0,748.0,140.0,5.99508547202392
239329,157.0,4083.0,61.0,-0.320663154175254
239155,4082.0,3938.0,60.0,5.22550582730267
619505,554.0,3078.0,137.0,-2.30017651917337
618919,554.0,779.0,134.0,3.03118418716102
54085,779.0,4210.0,8.0,0.823892175464188
81785,331.0,2045.0,38.0,6.67296977195133
620373,554.0,779.0,143.0,7.34041502738295
78931,2128.0,554.0,24.0,-0.803563536808654
77155,554.0,787.0,16.0,0.187489441709032
287314,3938.0,3946.0,78.0,13.8548686587362
77769,3939.0,330.0,20.0,1.8553562773708
239600,453.0,4089.0,62.0,6.07668528665017
81110,554.0,3195.0,35.0,38.5806762079627
618596,330.0,3938.0,133.0,1.72974259343424
82717,602.0,3928.0,43.0,9.17098723422395
79330,779.0,229.0,25.0,32.9838819555358
80996,187.0,772.0,35.0,24.2583978906127
59506,163.0,301.0,9.0,2.21903146042069
76088,779.0,232.0,13.0,-13.6985742819025
65099,1321.0,331.0,11.0,-3.85032421523535
207565,3938.0,282.0,177.0,2.85077135891313
79325,779.0,772.0,25.0,17.6629438834811
78900,219.0,282.0,24.0,13.2259013638277
77043,1867.0,282.0,16.0,-3.07421955087145
619095,748.0,779.0,135.0,-3.99617111004217
288330,3944.0,3941.0,89.0,-9.58112593834564
228534,554.0,371.0,57.0,3.70343687005934
78307,331.0,3311.0,21.0,16.2662313728984
77216,779.0,663.0,16.0,1.7535682255277
82768,2045.0,453.0,43.0,1.9399602925402
288049,453.0,4091.0,86.0,5.59390918885093
82644,187.0,2890.0,43.0,6.12741182551517
287315,3938.0,2046.0,78.0,-5.59592525537399
288261,163.0,4087.0,88.0,-2.32462991857181
78007,219.0,330.0,20.0,1.20899971329746
82113,1321.0,330.0,40.0,-6.79134668695928
618868,219.0,437.0,134.0,6.50438728792386
82762,554.0,787.0,43.0,0.051733953280974
76337,187.0,2764.0,14.0,11.7752358460678
80533,187.0,2128.0,33.0,0.763896239807692
81523,602.0,301.0,36.0,0.461808200623737
79845,779.0,562.0,27.0,11.8798773076401
75844,163.0,556.0,13.0,8.48621565883848
79755,554.0,1867.0,27.0,8.09427621526381
81995,3078.0,3940.0,39.0,-0.239301866462575
