,drug_row,drug_col,cell_line_name,synergy_bliss
240544,1944.0,42.0,68.0,-0.224834955227992
240475,949.0,2815.0,68.0,-8.18327592996943
240530,1784.0,1784.0,68.0,-10.7675769259259
240516,2930.0,4086.0,68.0,-5.77792986137948
631401,1378.0,2199.0,68.0,-8.774447815003919
240524,699.0,1688.0,68.0,4.04166314996564
240538,3912.0,3912.0,68.0,-4.63356162749892
240492,1784.0,1944.0,68.0,-16.2585993970012
240521,1944.0,1688.0,68.0,-0.326335064288335
631397,699.0,2199.0,68.0,1.875042846589653
631410,4185.0,2815.0,68.0,-0.2773717116786824
240477,949.0,2930.0,68.0,0.811876673718027
631422,3587.0,2930.0,68.0,1.1405948624225777
240537,1688.0,1688.0,68.0,-2.4167537835396
240499,992.0,2930.0,68.0,5.52953489695378
631406,1378.0,949.0,68.0,-3.330018942674572
240506,2815.0,699.0,68.0,-0.768685687921559
240526,4086.0,3912.0,68.0,-4.45675444424286
240486,42.0,1688.0,68.0,-9.79724660307169
240541,2199.0,42.0,68.0,-2.65379319905947
240473,949.0,699.0,68.0,-2.31005050513859
240493,1784.0,699.0,68.0,-12.8588411519875
240520,1944.0,4086.0,68.0,-1.17845731784462
240478,42.0,1784.0,68.0,-18.3316378142921
631403,1378.0,2815.0,68.0,-5.061323241951898
240476,949.0,1904.0,68.0,-4.12057582322561
240518,2930.0,3912.0,68.0,-6.59288975812946
631414,2815.0,1944.0,68.0,-1.564856052465035
631404,1378.0,2930.0,68.0,-5.374227323678809
240533,2930.0,2930.0,68.0,-6.01698047983068
240529,42.0,42.0,68.0,-26.2838571807011
631421,3587.0,2815.0,68.0,1.605296810994205
240489,1784.0,2815.0,68.0,-0.910054001133405
240508,2815.0,1688.0,68.0,1.41002562269536
240523,699.0,4086.0,68.0,3.64302260619168
240507,2815.0,4086.0,68.0,3.70375932872311
240531,992.0,992.0,68.0,2.0691799057233
240505,2815.0,1904.0,68.0,-4.04185180446856
240525,699.0,3912.0,68.0,-1.04203809090465
631419,1904.0,1944.0,68.0,-3.56273956125763
631411,4185.0,2930.0,68.0,-3.657150306658225
240540,699.0,1944.0,68.0,-6.17625371963514
240484,42.0,699.0,68.0,-11.8103361101529
240514,1904.0,3912.0,68.0,-2.25932349383192
631418,2815.0,1051.0,68.0,-0.5752578523326668
240542,2930.0,992.0,68.0,-0.0506127187888601
631398,699.0,2930.0,68.0,-1.5231217896731557
631420,2930.0,1944.0,68.0,-4.130427536339845
240519,1944.0,699.0,68.0,-10.3992205529816
240510,1904.0,2930.0,68.0,0.0211063438543522
240471,949.0,3912.0,68.0,-12.2389207545635
240535,699.0,699.0,68.0,-0.0204343761111503
240501,992.0,699.0,68.0,-4.87215443840822
240472,949.0,1944.0,68.0,-10.9368562948823
240504,992.0,3912.0,68.0,-3.18297786620973
631416,2815.0,2815.0,68.0,3.316773332440534
631412,4185.0,3587.0,68.0,-3.274814451264824
240500,992.0,1944.0,68.0,-2.8883476325624
240543,2815.0,992.0,68.0,-0.121759924544449
631409,4185.0,2199.0,68.0,-3.469847069613884
240487,42.0,3912.0,68.0,-8.30588984116421
240534,1944.0,1944.0,68.0,-11.3840922097685
