,drug_row,drug_col,cell_line_name,synergy_bliss
627694,4175.0,595.0,103.0,5.571375138243591
642341,555.0,307.0,2.0,1.5566523304982849
625554,263.0,3361.0,177.0,0.2096264929554812
633887,340.0,377.0,12.0,23.72485936948285
644628,555.0,4174.0,60.0,-10.50798636578379
627561,555.0,2852.0,103.0,-0.3892964549337299
624317,430.0,1938.0,51.0,-3.842059197112021
633848,642.0,2852.0,12.0,-0.0431877232711003
624352,4172.0,642.0,51.0,-2.1262665717605658
647895,340.0,4175.0,116.0,29.4647873272405
625425,555.0,4175.0,177.0,-8.555114402060799
647867,4173.0,2088.0,116.0,2.3138240190738704
625414,555.0,1938.0,177.0,-8.866484734837853
625449,340.0,2088.0,177.0,7.544143649879037
644743,307.0,4174.0,60.0,2.6063939692918114
625567,4176.0,2088.0,177.0,-6.205154067663663
624541,340.0,263.0,150.0,2.67641390519018
633843,642.0,1938.0,12.0,-3.12859185302039
625461,340.0,2852.0,177.0,4.479618426285203
624375,307.0,4175.0,51.0,7.052898439855371
627539,1938.0,595.0,103.0,1.804824021094817
633991,263.0,4175.0,12.0,4.48003018700522
627704,4176.0,3297.0,103.0,7.294718264602512
627646,377.0,2852.0,103.0,3.871936118843012
625507,377.0,3361.0,177.0,10.450075945451516
625521,4172.0,595.0,177.0,5.570479191935385
624643,4175.0,2852.0,150.0,-1.0794338708213782
625504,377.0,595.0,177.0,1.6380574153380576
633906,2088.0,4175.0,12.0,12.20476838756625
642350,4173.0,555.0,2.0,-0.1811241078729814
644672,340.0,2852.0,60.0,4.333696948617048
624406,4176.0,4172.0,51.0,-0.2728953196842069
633905,2088.0,263.0,12.0,-6.627119587379109
633998,2852.0,595.0,12.0,-3.750892212663635
644700,430.0,4172.0,60.0,0.8283769344078433
627627,430.0,604.0,103.0,-5.516756397203606
633996,4175.0,2852.0,12.0,0.3350261629213459
647988,263.0,595.0,116.0,2.761452232295616
624281,340.0,1938.0,51.0,3.831131677886008
624518,4173.0,3297.0,150.0,-1.9586263698980069
624630,604.0,4175.0,150.0,-5.156813394912927
625447,340.0,642.0,177.0,4.740549037184821
625559,4175.0,595.0,177.0,0.7294761510848999
644745,307.0,3297.0,60.0,3.969132750278138
625490,430.0,307.0,177.0,1.2350344178686905
644667,340.0,307.0,60.0,7.402079944334837
644635,555.0,263.0,60.0,-17.712097729793275
642448,307.0,642.0,2.0,4.204460203142467
633897,340.0,4176.0,12.0,-5.9621415976508345
647857,555.0,3361.0,116.0,-2.3271711711963423
633892,340.0,3361.0,12.0,0.08969020355716
624322,430.0,3297.0,51.0,-5.899306638536702
627599,2088.0,642.0,103.0,0.2392525820232211
647864,4173.0,642.0,116.0,-1.3237212914788454
633950,595.0,3361.0,12.0,10.63840412212424
624636,263.0,3361.0,150.0,-5.06762469709231
642473,263.0,595.0,2.0,-0.0525925959337237
625453,340.0,3297.0,177.0,8.44902126740619
627641,377.0,307.0,103.0,12.273425670404247
624590,377.0,604.0,150.0,-7.340171484500016
624609,307.0,1938.0,150.0,-2.869304483198444
642324,1938.0,595.0,2.0,-6.878422476858711
644682,2088.0,4175.0,60.0,7.265800570288625
625445,4173.0,4176.0,177.0,-4.005082032930785
625523,4172.0,604.0,177.0,-0.114989202324818
634001,4176.0,642.0,12.0,-6.767779848025425
647944,377.0,263.0,116.0,4.165970959127495
624631,604.0,2852.0,150.0,-7.647553784342821
633963,307.0,642.0,12.0,8.117437957063764
633894,340.0,263.0,12.0,-6.675667604284655
624329,430.0,4175.0,51.0,8.296626848336665
624354,4172.0,4174.0,51.0,-0.676193568020543
