,drug_row,drug_col,cell_line_name,synergy_bliss
396263,655.0,3928.0,111.0,-0.150630387045493
490377,1871.0,645.0,183.0,-2.09080707970656
392429,217.0,748.0,111.0,-22.4745142494558
507547,2555.0,4157.0,169.0,-12.0230383587412
485804,561.0,1238.0,182.0,14.907838323276
409008,2400.0,438.0,113.0,-10.2526325532884
448920,31.0,267.0,181.0,1.99998550040211
430014,419.0,267.0,115.0,34.1309695016536
520500,2913.0,2421.0,128.0,-33.4404261601579
364811,484.0,364.0,108.0,-55.7635310954017
429124,2310.0,4156.0,115.0,-48.4122773720168
495040,4150.0,3010.0,125.0,-33.8778662293257
460021,524.0,442.0,120.0,-20.6071483155277
356724,548.0,552.0,107.0,16.8157263672388
474701,164.0,4149.0,123.0,71.9637868869133
386483,554.0,687.0,110.0,-6.01518194968492
520992,748.0,4158.0,128.0,-9.16214427992049
511045,4148.0,277.0,127.0,-7.16660207114815
471079,4156.0,2088.0,122.0,44.5883871453058
365352,4154.0,4156.0,108.0,12.6636097925543
516782,150.0,928.0,128.0,23.9421861793535
511294,4150.0,2875.0,127.0,-37.6374280788982
391488,845.0,4149.0,111.0,-7.46720843844633
421416,523.0,267.0,114.0,-24.7771886308293
350808,1904.0,788.0,106.0,1.85011681783708
430679,147.0,2310.0,115.0,21.9187824069778
476554,741.0,4153.0,123.0,17.5849921344738
460030,524.0,1871.0,120.0,52.6458715902936
471044,4155.0,920.0,122.0,13.4989139118548
472868,788.0,313.0,123.0,91.4360273284169
382784,682.0,3928.0,110.0,54.5587189375444
351248,524.0,821.0,106.0,-19.3567977115805
449143,374.0,687.0,181.0,2.79606941527768
466925,574.0,143.0,122.0,-11.791349971599
477453,31.0,2677.0,123.0,8.97185887085947
441222,2619.0,655.0,116.0,78.2035073437546
480817,247.0,2421.0,124.0,-14.2397223511045
459918,2913.0,484.0,120.0,-27.4865270151331
489169,4148.0,203.0,183.0,-42.8584178072012
346901,574.0,1225.0,106.0,113.167503851309
490996,687.0,2832.0,183.0,-55.1091818594347
451250,1871.0,724.0,117.0,-6.22604180696981
486162,341.0,364.0,182.0,184.799923826568
486657,2677.0,4148.0,182.0,-12.3126510766245
405675,604.0,3214.0,112.0,-24.1370845093011
447217,281.0,4150.0,181.0,10.7941236126867
479752,4152.0,4153.0,124.0,78.1164692566498
495340,442.0,2832.0,125.0,-38.887564207675
489699,254.0,2088.0,183.0,-10.0837789829444
499852,845.0,4151.0,126.0,56.7388723717444
491265,3214.0,277.0,183.0,98.2111626383284
367016,3010.0,548.0,108.0,-28.0303229233078
362037,682.0,4155.0,108.0,91.7036365772178
489342,229.0,1939.0,183.0,-3.64483670946785
505449,4148.0,928.0,169.0,-10.4993510645711
464864,604.0,3.0,121.0,-8.36472994737511
468991,716.0,232.0,122.0,-27.0309139181652
422169,3898.0,254.0,114.0,23.1830567610022
489964,562.0,3010.0,183.0,-17.2977547954313
462891,601.0,438.0,121.0,-66.9581374507409
404993,247.0,3379.0,112.0,10.6345167317266
488280,655.0,85.0,182.0,-14.003775096451
462750,1330.0,220.0,121.0,6.0862626197194
508167,724.0,3010.0,169.0,15.8860663768004
431935,4155.0,552.0,115.0,5.36121657226477
484856,1871.0,845.0,182.0,109.536650748086
395032,604.0,247.0,111.0,-39.550656573074
459944,2913.0,778.0,120.0,-11.9641505835411
477135,524.0,4148.0,123.0,-17.3761346790219
384978,164.0,482.0,110.0,33.5848624116127
