,drug_row,drug_col,cell_line_name,synergy_bliss
159246,67.0,70.0,49.0,11.7565868409972
159233,518.0,352.0,49.0,10.6150970759193
159385,1623.0,3569.0,49.0,13.6119950447453
158986,736.0,1239.0,49.0,-26.9357601214286
160545,822.0,127.0,49.0,-0.645436859437407
159006,736.0,46.0,49.0,-15.7454569649522
160697,31.0,756.0,49.0,1.01962917122471
160109,1623.0,168.0,49.0,25.9790931748986
160335,731.0,222.0,49.0,-0.31665932757975
628896,227.0,780.0,154.0,1.96310043126214
159000,470.0,491.0,49.0,-39.0993572600082
647454,331.0,1348.0,49.0,5.601009475111109
160624,3569.0,756.0,49.0,4.23319607195814
647508,453.0,168.0,49.0,18.15296144104035
160213,571.0,202.0,49.0,-4.00748771725039
646960,296.0,3569.0,49.0,-7.983180909285
646663,466.0,2039.0,164.0,-1.097402733721057
646871,168.0,75.0,49.0,8.423443111716715
159593,1623.0,1590.0,49.0,15.1851274950967
646849,168.0,822.0,49.0,3.033458907661378
159783,426.0,406.0,49.0,17.2419827203957
160219,1086.0,202.0,49.0,42.1112210071323
647520,453.0,570.0,49.0,19.00315473434391
159545,518.0,465.0,49.0,32.2436801037322
158959,1275.0,426.0,49.0,-25.8223583759633
160779,480.0,296.0,49.0,5.49067849048073
647607,782.0,420.0,49.0,-1.96079588102045
160694,127.0,491.0,49.0,12.2278710248108
646995,406.0,75.0,49.0,7.325891396060005
160466,1086.0,731.0,49.0,3.09509897350976
160668,406.0,222.0,49.0,6.07195262336713
159534,246.0,15.0,49.0,11.6494843621517
160865,753.0,571.0,49.0,-1.37824753977637
647375,729.0,1358.0,49.0,2.322175309849537
159469,571.0,576.0,49.0,34.5860883596324
159934,15.0,205.0,49.0,10.4639979402719
647427,331.0,465.0,49.0,9.95715789473112
647002,406.0,491.0,49.0,0.791781066922016
160352,1483.0,466.0,49.0,15.5273998805682
158933,1275.0,787.0,49.0,-38.1970226330203
158924,1358.0,787.0,49.0,-11.8038068447723
646896,465.0,345.0,49.0,10.754571864864422
160237,397.0,227.0,49.0,9.91920372571734
160817,222.0,827.0,49.0,9.85975574097924
160416,731.0,1623.0,49.0,1.77971159075208
646972,296.0,112.0,49.0,2.967349826031035
159477,205.0,59.0,49.0,18.6875785762649
647333,159.0,80.0,49.0,3.15258240690075
160586,491.0,1590.0,49.0,-0.356359516093134
160083,719.0,1316.0,49.0,7.71216338046872
