,drug_row,drug_col,cell_line_name,synergy_bliss
156720,197.0,604.0,47.0,3.15103672696186
157493,993.0,604.0,47.0,9.39145066185349
158535,75.0,37.0,47.0,74.5924093262891
158442,407.0,123.0,47.0,4.27997007540422
158296,1797.0,604.0,47.0,8.17339926359561
158280,1781.0,604.0,47.0,5.69553871091007
157836,1336.0,604.0,47.0,20.8142024740736
157170,665.0,604.0,47.0,-14.3912021514001
157079,3288.0,604.0,47.0,43.6462935926471
158480,491.0,1275.0,47.0,4.46982811617564
158036,1535.0,604.0,47.0,71.5773998688549
158763,228.0,296.0,47.0,-9.05332339665669
157983,1482.0,604.0,47.0,4.91876213404711
157323,823.0,604.0,47.0,30.3167802928268
157147,615.0,604.0,47.0,-0.983948033438875
157767,1267.0,604.0,47.0,13.457176924875
156867,343.0,604.0,47.0,10.9803403050006
156549,24.0,604.0,47.0,8.68960220371829
157250,748.0,604.0,47.0,0.897084704083231
157459,959.0,604.0,47.0,9.74429096800084
158030,1529.0,604.0,47.0,49.2259933852241
158049,1548.0,604.0,47.0,58.7947863305696
158455,37.0,788.0,47.0,10.3960307080388
156535,9.0,604.0,47.0,9.38539588271884
156604,82.0,604.0,47.0,1.17899670666048
156819,295.0,604.0,47.0,1.95812382935309
158163,1664.0,604.0,47.0,9.67117775922659
156922,401.0,604.0,47.0,5.79075173604115
156606,84.0,604.0,47.0,-2.15828160312842
158042,1541.0,604.0,47.0,49.519989800906
157807,1307.0,604.0,47.0,12.485686470261
158411,406.0,316.0,47.0,87.1866405191075
156614,92.0,604.0,47.0,7.02382771859791
158624,914.0,475.0,47.0,-9.51741994716092
157101,565.0,604.0,47.0,37.3672841114501
632344,3932.0,604.0,48.0,9.99532830942272
157494,994.0,604.0,47.0,1.8844151471194
158458,72.0,788.0,47.0,6.05876976308877
158204,1705.0,604.0,47.0,4.30491213829795
158387,228.0,101.0,47.0,-6.30752810510155
158033,1532.0,604.0,47.0,27.6198934811636
158825,659.0,604.0,47.0,6.27472951972655
157334,834.0,604.0,47.0,19.4790623503088
156569,45.0,604.0,47.0,3.3866532113742
157352,852.0,604.0,47.0,1.24166377687242
157977,1477.0,604.0,47.0,3.21910019222433
157878,1378.0,604.0,47.0,12.9091652425108
157709,1209.0,604.0,47.0,-5.85400707992576
157084,3153.0,604.0,47.0,24.9120490486863
157759,1259.0,604.0,47.0,3.51031158003897
157113,579.0,604.0,47.0,20.9478716046529
157261,759.0,604.0,47.0,9.72611653093307
158695,407.0,227.0,47.0,14.6109832832666
632357,451.0,604.0,48.0,4.228711514838235
158437,397.0,123.0,47.0,0.269956314741604
158626,419.0,475.0,47.0,3.53138188988471
157753,1253.0,604.0,47.0,7.04640472892148
158228,1729.0,604.0,47.0,20.6771981398209
156991,475.0,604.0,47.0,-5.82915476842504
157299,799.0,604.0,47.0,-5.23468061792943
157851,1351.0,604.0,47.0,4.48362526956935
156866,342.0,604.0,47.0,-0.650774561077967
156752,228.0,604.0,47.0,-7.63931055547969
158537,296.0,37.0,47.0,70.5856960945408
157302,802.0,604.0,47.0,8.21626168133152
158326,1827.0,604.0,47.0,16.1784488465391
158219,1720.0,604.0,47.0,12.1210080510203
158061,1560.0,604.0,47.0,35.4545868049564
156659,137.0,604.0,47.0,13.4077591782275
157524,1024.0,604.0,47.0,11.3820385983387
158403,475.0,316.0,47.0,54.6688729942673
157434,934.0,604.0,47.0,6.46099332947284
157419,919.0,604.0,47.0,4.2389142186026
632341,37.0,296.0,48.0,-1.9801168894116168
158614,15.0,72.0,47.0,-1.08727772404857
157895,1395.0,604.0,47.0,-9.12322489778385
158640,75.0,453.0,47.0,-1.78941618839083
157871,1371.0,604.0,47.0,8.94779499555363
157950,1450.0,604.0,47.0,20.1699238627239
156833,309.0,604.0,47.0,-4.21240251504283
158418,413.0,316.0,47.0,106.845209429064
157333,833.0,604.0,47.0,12.5475082587592
157398,898.0,604.0,47.0,-2.13031330626079
158463,227.0,788.0,47.0,0.318266730855624
632302,699.0,604.0,47.0,21.45311350411195
157699,1199.0,604.0,47.0,3.5906165650079
157953,1453.0,604.0,47.0,27.6419740230241
158673,1330.0,317.0,47.0,-19.3844548384895
157776,1276.0,604.0,47.0,-2.55164068318137
157222,719.0,604.0,47.0,1.6368913225264
158545,216.0,37.0,47.0,-5.22772713077718
157366,866.0,604.0,47.0,1.09943482565274
157705,1205.0,604.0,47.0,5.93186145507266
158093,1594.0,604.0,47.0,19.7160424895913
158189,1690.0,604.0,47.0,-13.6776398736741
157630,1130.0,604.0,47.0,6.94301090702837
157097,560.0,604.0,47.0,63.6809349515368
158672,227.0,317.0,47.0,107.847695381187
156822,298.0,604.0,47.0,-6.91651075624288
158713,228.0,1330.0,47.0,10.0167065733263
156927,406.0,604.0,47.0,-7.97192877920409
158749,407.0,406.0,47.0,-11.1614368579037
156769,245.0,604.0,47.0,7.76340410715861
157174,669.0,604.0,47.0,3.52038222485809
158743,216.0,75.0,47.0,-2.11610213857323
157511,1011.0,604.0,47.0,-4.5025966870932
156731,208.0,604.0,47.0,-3.60740446952762
158145,1646.0,604.0,47.0,-9.6698099678521
158367,491.0,101.0,47.0,2.51536454150007
156552,27.0,604.0,47.0,2.0563590565943
158395,788.0,316.0,47.0,6.68572990360944
158386,1280.0,101.0,47.0,-3.6983779902961
156932,411.0,604.0,47.0,-2.12274018318191
157739,1239.0,604.0,47.0,16.8231434819053
157259,757.0,604.0,47.0,-7.73345822080729
157826,1326.0,604.0,47.0,5.52420839694829
158417,228.0,316.0,47.0,142.402198441697
157948,1448.0,604.0,47.0,9.42627935580104
157444,944.0,604.0,47.0,-4.32869359057314
157644,1144.0,604.0,47.0,13.1839756711082
157944,1444.0,604.0,47.0,16.249803077894
156626,104.0,604.0,47.0,-5.20222506391621
158677,296.0,317.0,47.0,19.9538879752438
157365,865.0,604.0,47.0,7.91757444984603
157133,601.0,604.0,47.0,-19.6635017970604
157120,587.0,604.0,47.0,-1.20114462350804
156581,58.0,604.0,47.0,7.4682291994907
157933,1433.0,604.0,47.0,15.0594515429692
157638,1138.0,604.0,47.0,13.9323656085751
156953,434.0,604.0,47.0,3.81772955222971
158525,359.0,37.0,47.0,123.03294579625
156585,63.0,604.0,47.0,22.7171195771825
158512,406.0,127.0,47.0,97.156650878848
156889,367.0,604.0,47.0,21.2311794179341
158137,1638.0,604.0,47.0,21.1699423903231
158679,407.0,317.0,47.0,-1.33619603621717
157957,1457.0,604.0,47.0,13.5434423836229
158393,15.0,101.0,47.0,-4.54422284488314
157482,982.0,604.0,47.0,10.3149648593379
157047,534.0,604.0,47.0,3.44236991078661
157094,3183.0,604.0,47.0,-4.23424914029864
158263,1764.0,604.0,47.0,1.21283940958499
