,drug_row,drug_col,cell_line_name,synergy_bliss
641213,4171.0,748.0,59.0,6.84791954157669
631887,331.0,4169.0,8.0,-8.70230227591219
637931,161.0,4169.0,76.0,-7.39566816023762
633030,150.0,195.0,156.0,-0.7131376468825795
650943,1584.0,2558.0,14.0,-5.117027321255985
650757,331.0,2764.0,14.0,-4.501866905428912
629646,466.0,2268.0,55.0,-3.3716181182114
630012,85.0,555.0,55.0,-5.38095703608078
641167,4170.0,2400.0,59.0,-1.9301934311316729
630433,4171.0,2764.0,155.0,-2.18573941159477
631927,4170.0,68.0,8.0,9.235136022263582
644398,2981.0,2399.0,163.0,-2.251545601508786
629604,3753.0,2268.0,55.0,-1.5547668395478351
643961,3753.0,2349.0,163.0,-6.246452911641358
640966,555.0,4169.0,59.0,-8.918443035109831
627110,4170.0,3753.0,152.0,3.3631710411777176
641927,11.0,780.0,110.0,4.87068492649064
638861,141.0,161.0,185.0,3.49384620360372
637780,85.0,537.0,74.0,1.1940260057682632
622122,4171.0,15.0,106.0,8.358908723855523
646510,47.0,164.0,13.0,-8.229253635814668
624834,2764.0,68.0,151.0,6.14058725489146
640453,466.0,150.0,160.0,2.67270395578404
622669,537.0,331.0,148.0,9.426980540947984
644373,85.0,778.0,163.0,11.270439158515394
642677,555.0,4169.0,102.0,0.9288985040493924
625154,2349.0,537.0,151.0,3.95837519019234
632111,2349.0,2558.0,8.0,0.544058208778499
627250,748.0,778.0,152.0,5.8738217929341
623587,2981.0,164.0,107.0,3.001681699644166
645258,1347.0,164.0,60.0,-0.922011052461482
635396,555.0,2268.0,75.0,-1.662635841609573
636947,748.0,2268.0,158.0,0.0539142022429909
623939,748.0,2268.0,149.0,-7.0753294205056
625287,68.0,341.0,151.0,1.0929013099613898
629751,4171.0,2400.0,55.0,-7.74179281056963
640586,1904.0,555.0,160.0,18.2947306947458
638798,3931.0,3753.0,185.0,-2.58712333012737
637588,11.0,2764.0,74.0,3.54050020088126
624836,4169.0,2558.0,151.0,3.8966274464743975
623648,1337.0,85.0,149.0,-1.3024564822851652
648428,2399.0,72.0,116.0,-0.1609066110741299
628459,466.0,778.0,153.0,0.0813698855432313
650902,748.0,2558.0,14.0,-7.47791635928471
