,drug_row,drug_col,cell_line_name,synergy_bliss
618314,283.0,331.0,130.0,-4.70650485326511
618230,252.0,827.0,129.0,15.7190703682522
618321,2490.0,827.0,130.0,8.24538608754846
618342,2490.0,2490.0,130.0,5.33709129206718
618294,325.0,4077.0,130.0,15.8693982214394
618251,345.0,252.0,129.0,13.8108530506028
618183,300.0,556.0,129.0,14.045351854465
618280,329.0,556.0,130.0,32.3401005002326
618214,751.0,556.0,129.0,3.58641438903533
618228,827.0,827.0,129.0,11.3193249321841
618283,331.0,556.0,130.0,-1.96079588102045
618210,827.0,556.0,129.0,8.40736536688183
618211,216.0,556.0,129.0,2.0605829800155
618208,2373.0,420.0,129.0,9.34528334979646
618318,827.0,827.0,130.0,2.06262368878957
618259,283.0,751.0,129.0,13.4163130838563
618232,751.0,827.0,129.0,20.1082957703995
618200,341.0,4077.0,129.0,16.1000634641788
618293,329.0,4077.0,130.0,12.0522823217485
618227,345.0,331.0,129.0,13.9755787673856
618207,1483.0,4077.0,129.0,9.65573429848924
618260,3023.0,751.0,129.0,17.6225771634905
618276,343.0,556.0,130.0,24.8784207778767
618358,4240.0,3023.0,130.0,14.6005473861033
618235,4240.0,827.0,129.0,15.2601190627762
618216,3023.0,556.0,129.0,-0.51203838562957
618315,3023.0,331.0,130.0,8.56403541544539
618270,4240.0,4240.0,129.0,5.08135578131727
618355,4240.0,283.0,130.0,6.11872168620245
618220,216.0,331.0,129.0,22.2260868774788
618277,341.0,556.0,130.0,22.3129721434223
618360,4240.0,4240.0,130.0,0.206316935261392
618254,283.0,2490.0,129.0,18.6329715623246
618357,3023.0,3023.0,130.0,-4.94550522433189
618352,345.0,751.0,130.0,7.45849280820649
618242,3023.0,216.0,129.0,21.626856870853
618188,352.0,556.0,129.0,10.6752309385424
618282,334.0,556.0,130.0,15.4448015472457
618311,252.0,331.0,130.0,20.4463294111845
618237,216.0,216.0,129.0,14.0761809999384
618222,2490.0,331.0,129.0,12.6788424718622
618272,296.0,556.0,130.0,4.84863246343354
618221,252.0,331.0,129.0,18.3628517768573
618347,345.0,2490.0,130.0,16.6536097689569
618190,329.0,556.0,129.0,19.3847705392165
618231,2490.0,827.0,129.0,11.1979150920122
618263,283.0,283.0,129.0,-3.18808438651307
618286,300.0,4077.0,130.0,11.085848790964
618279,345.0,556.0,130.0,-1.96079588102045
618333,4240.0,216.0,130.0,6.02093880169757
618345,3023.0,2490.0,130.0,4.85861065187002
618191,325.0,556.0,129.0,5.38097009930608
618198,359.0,4077.0,129.0,16.8544587411215
618309,827.0,331.0,130.0,7.58250497103073
618317,345.0,331.0,130.0,10.6398383961429
618186,343.0,556.0,129.0,18.9254350641705
618202,345.0,4077.0,129.0,5.54143416648226
618225,3023.0,331.0,129.0,11.0265224255649
618265,4240.0,283.0,129.0,13.7869631560727
618326,345.0,827.0,130.0,15.5174847843173
618189,345.0,556.0,129.0,-1.96079588102045
618300,827.0,556.0,130.0,11.9044009626157
618185,359.0,556.0,129.0,13.1181342893174
618330,751.0,216.0,130.0,10.7407161972089
618243,4240.0,216.0,129.0,-0.0813081643944272
618238,252.0,216.0,129.0,13.9678544966296
618305,283.0,556.0,130.0,5.26226738229521
618234,3023.0,827.0,129.0,4.01197804675547
618306,3023.0,556.0,130.0,4.76452019859257
618252,2490.0,2490.0,129.0,15.7116295195835
618359,345.0,3023.0,130.0,24.1847682278699
618275,359.0,556.0,130.0,4.4102109355779
618353,283.0,283.0,130.0,-0.921815801394187
618288,359.0,4077.0,130.0,14.245734844092
618229,216.0,827.0,129.0,15.9425857833248
618249,3023.0,252.0,129.0,13.1519277842372
618287,295.0,4077.0,130.0,16.6366415107209
618236,345.0,827.0,129.0,8.24425171426246
618285,296.0,4077.0,130.0,11.4175935627178
618341,345.0,252.0,130.0,8.30504746054224
618206,331.0,4077.0,129.0,16.052429075392
618247,751.0,252.0,129.0,11.8530644660815
618269,345.0,3023.0,129.0,14.234560092381
618219,827.0,331.0,129.0,13.728141399578
618356,345.0,283.0,130.0,6.31813378826012
618250,4240.0,252.0,129.0,17.1458347188795
618255,3023.0,2490.0,129.0,14.0416739503895
618344,283.0,2490.0,130.0,10.1629040531225
618224,283.0,331.0,129.0,11.342027491121
618215,283.0,556.0,129.0,16.3512416603869
618308,331.0,331.0,130.0,19.5381033318365
618350,3023.0,751.0,130.0,20.1898585755432
618184,295.0,556.0,129.0,16.161745769267
618241,283.0,216.0,129.0,15.3403424219465
618346,4240.0,2490.0,130.0,29.2768570000197
618304,751.0,556.0,130.0,4.87682811942904
618298,2373.0,420.0,130.0,18.8818391838513
618319,216.0,827.0,130.0,18.7007132774527
618284,1483.0,556.0,130.0,3.5450275581826
618268,4240.0,3023.0,129.0,17.5094703657787
618327,216.0,216.0,130.0,8.27648522165467
618361,345.0,4240.0,130.0,-1.96079588102045
618205,334.0,4077.0,129.0,9.23200297660619
618264,3023.0,283.0,129.0,12.8631267327814
618307,4240.0,556.0,130.0,14.0074218566181
618199,343.0,4077.0,129.0,8.63787495003977
618289,343.0,4077.0,130.0,4.33959126754504
618303,2490.0,556.0,130.0,10.9133962348005
