,drug_row,drug_col,cell_line_name,synergy_hsa
240127,4081.0,4212.0,66.0,5.43552117125569
288275,3938.0,2046.0,88.0,2.89890752064277
78083,602.0,787.0,20.0,4.3512693806339
78555,219.0,282.0,22.0,1.50805513546051
70420,2048.0,3311.0,12.0,29.6483932554149
619442,4166.0,779.0,137.0,1.26756233909796
288136,3520.0,3941.0,86.0,3.21520798091493
76488,2045.0,546.0,14.0,-7.58894631652428
620096,4166.0,737.0,142.0,-0.595363554106751
620804,3311.0,737.0,145.0,1.46472994422181
78378,219.0,2045.0,21.0,0.508165523689882
620268,467.0,3078.0,143.0,17.0569038818532
217960,3938.0,371.0,55.0,124.995887573979
619410,467.0,737.0,137.0,2.91943574394102
240359,160.0,4089.0,67.0,0.880027948710574
75888,187.0,2890.0,13.0,-0.768724710063747
240045,3938.0,4085.0,65.0,4.00761659581779
287217,3938.0,3941.0,77.0,17.5525683586986
239236,453.0,2050.0,61.0,-4.08460412089413
82568,467.0,3195.0,43.0,-0.668794299653276
81631,779.0,556.0,36.0,1.64765279614215
81739,1321.0,2045.0,37.0,-0.703508269770122
287694,3938.0,3078.0,82.0,-5.91548957607873
239181,602.0,554.0,60.0,4.90760928316127
287922,554.0,4088.0,84.0,5.85254470084724
48415,3325.0,3940.0,6.0,8.63952377118738
80571,556.0,282.0,33.0,20.0124776946373
81102,554.0,1867.0,35.0,11.9485466342962
282035,3938.0,3950.0,76.0,-0.560247739348548
81119,554.0,356.0,35.0,2.3115613180077
75919,219.0,1321.0,13.0,5.88769976665834
620544,3946.0,282.0,144.0,0.573077190346685
288779,453.0,3520.0,94.0,3.85273780489655
78508,3078.0,2045.0,22.0,-4.94053330700236
81592,2045.0,3195.0,36.0,1.13207824533292
53657,187.0,554.0,7.0,-1.58788680877922
77289,160.0,4210.0,16.0,-1.44422003030556
621001,3311.0,554.0,146.0,4.82372263721452
78167,3928.0,2045.0,20.0,9.61702034922651
77303,160.0,359.0,16.0,-2.24501904765143
79613,163.0,663.0,27.0,1.55568227601856
620290,1923.0,219.0,143.0,-1.32434874385105
79740,602.0,208.0,27.0,-3.44896952913808
76071,779.0,546.0,13.0,1.90795881862706
240044,3938.0,371.0,65.0,-3.87153983855037
80802,3938.0,3941.0,34.0,12.7803413722221
78802,3939.0,330.0,24.0,2.70348816587587
79572,467.0,1896.0,27.0,2.6681673257206
78054,602.0,453.0,20.0,-1.82396028252611
79969,2045.0,331.0,28.0,-4.58806942601073
287268,330.0,3945.0,78.0,-2.48035850095847
81280,330.0,546.0,36.0,-7.42351620577068
620126,219.0,4207.0,142.0,-5.66028364262087
80405,300.0,2045.0,32.0,3.90356835989472
53763,330.0,2764.0,8.0,1.33198206287777
76735,3941.0,330.0,15.0,21.2798917086723
620214,3311.0,187.0,142.0,-4.04726552571547
78826,3078.0,282.0,24.0,-0.509030416330158
76310,187.0,453.0,14.0,-6.62414967738451
76836,3325.0,2045.0,15.0,5.18032021950464
620622,3325.0,779.0,144.0,4.68022433286838
288889,3945.0,3942.0,95.0,3.54877993679962
77678,187.0,282.0,19.0,3.8200595391308
53616,3939.0,282.0,7.0,3.82423115429516
228494,4082.0,3945.0,57.0,1.69600804469956
619428,1923.0,737.0,137.0,7.53203445306124
54066,2045.0,562.0,8.0,-3.59182393797601
633673,163.0,331.0,9.0,4.72210920190178
233820,602.0,554.0,59.0,14.6478171065534
650573,219.0,2045.0,14.0,6.39957936975323
245806,160.0,4087.0,69.0,8.2842981373051
77979,187.0,788.0,20.0,0.103636796497569
620007,219.0,2039.0,141.0,3.15550998771654
77584,3325.0,219.0,18.0,-2.21958103582514
75826,163.0,2039.0,13.0,1.43617665744885
620776,2045.0,779.0,145.0,-0.695802047690488
76378,219.0,4210.0,14.0,-21.4527056233853
77950,187.0,546.0,20.0,-3.76452097784503
620739,3946.0,779.0,145.0,0.335596348230145
619943,2045.0,437.0,140.0,-0.384067651802749
76187,330.0,2890.0,14.0,-25.8522048579596
79668,187.0,787.0,27.0,0.59235363668759
81869,1867.0,2045.0,38.0,-7.0958156754585
288074,3945.0,229.0,86.0,5.58812991210641
619062,187.0,4208.0,135.0,1.54474840309347
77193,2045.0,282.0,16.0,0.487577252047259
75865,187.0,2039.0,13.0,-11.5638510145449
81052,602.0,331.0,35.0,-60.1312282206731
81340,467.0,748.0,36.0,1.15152890838473
287635,282.0,4216.0,81.0,5.46457933227918
81589,2045.0,737.0,36.0,3.82503086940788
76483,2045.0,281.0,14.0,11.6724601123032
619270,219.0,4208.0,136.0,0.719953129047391
288527,3945.0,3944.0,91.0,1.45971419312505
288518,467.0,3938.0,91.0,5.70390742815207
80733,3940.0,300.0,34.0,2.64067981333543
81889,219.0,282.0,38.0,9.24799886008224
59697,2045.0,2039.0,9.0,4.16848137369059
240183,554.0,2046.0,66.0,-6.88056155001404
266288,3938.0,453.0,73.0,17.1485398176053
239154,4082.0,3945.0,60.0,2.50380547629464
288616,3945.0,3942.0,92.0,-0.599834470959039
53638,3940.0,219.0,7.0,1.03244278855983
75733,330.0,2622.0,13.0,3.4356669445727
620657,3940.0,4208.0,145.0,8.89984446673313
80150,3078.0,330.0,30.0,-6.49936961749426
228459,467.0,4214.0,57.0,17.2399245077976
287943,160.0,4087.0,84.0,4.99566579873754
78480,331.0,300.0,22.0,1.90043522162868
619991,3325.0,748.0,140.0,7.56347628961374
239329,157.0,4083.0,61.0,-2.87278917223356
239155,4082.0,3938.0,60.0,4.66809635939542
619505,554.0,3078.0,137.0,5.58381045060742
618919,554.0,779.0,134.0,-0.159653462002271
54085,779.0,4210.0,8.0,6.04425602507756
81785,331.0,2045.0,38.0,7.63127963256694
620373,554.0,779.0,143.0,9.41951270306442
78931,2128.0,554.0,24.0,4.24369994834297
77155,554.0,787.0,16.0,2.63957313985901
287314,3938.0,3946.0,78.0,-12.0005308829379
77769,3939.0,330.0,20.0,6.07590493177436
239600,453.0,4089.0,62.0,8.11174173365824
81110,554.0,3195.0,35.0,11.5602379203613
618596,330.0,3938.0,133.0,4.77224358826383
82717,602.0,3928.0,43.0,-1.72072092681227
79330,779.0,229.0,25.0,-2.41952857438061
80996,187.0,772.0,35.0,4.41999068144978
59506,163.0,301.0,9.0,2.93152512708081
76088,779.0,232.0,13.0,-11.1834909009166
65099,1321.0,331.0,11.0,-5.91963085652214
207565,3938.0,282.0,177.0,8.76330459573358
79325,779.0,772.0,25.0,3.32126635316922
78900,219.0,282.0,24.0,17.9992451801308
77043,1867.0,282.0,16.0,2.7083218056536
619095,748.0,779.0,135.0,2.07696796009881
288330,3944.0,3941.0,89.0,-10.4797265672757
228534,554.0,371.0,57.0,10.1561349967538
78307,331.0,3311.0,21.0,11.8482355385009
77216,779.0,663.0,16.0,0.579835565112846
82768,2045.0,453.0,43.0,2.03621595592796
288049,453.0,4091.0,86.0,8.18839400609108
82644,187.0,2890.0,43.0,2.59889517127324
287315,3938.0,2046.0,78.0,-26.0525620666269
288261,163.0,4087.0,88.0,5.98807147352143
78007,219.0,330.0,20.0,0.464055364415977
82113,1321.0,330.0,40.0,1.67516421972238
618868,219.0,437.0,134.0,7.09582366896301
82762,554.0,787.0,43.0,-0.0445202788121816
76337,187.0,2764.0,14.0,0.97237954480594
80533,187.0,2128.0,33.0,-11.3434490197049
81523,602.0,301.0,36.0,-0.580200104530935
79845,779.0,562.0,27.0,6.2035622068528
75844,163.0,556.0,13.0,4.47190515117894
79755,554.0,1867.0,27.0,8.85191933050605
81995,3078.0,3940.0,39.0,-1.52091628437836
288080,163.0,3945.0,86.0,0.847383803514369
53876,187.0,540.0,8.0,7.69169587954382
288134,68.0,3941.0,86.0,8.78357736942904
619331,282.0,437.0,136.0,1.33634651074498
289149,3944.0,3941.0,97.0,4.40454562892237
620382,2045.0,737.0,143.0,-1.30846996401929
77391,1231.0,3940.0,17.0,4.85198658682161
288858,370.0,4087.0,94.0,1.2681692780102
59468,467.0,466.0,9.0,16.6406157923091
79498,3325.0,3311.0,26.0,-3.02013166009834
619591,219.0,3928.0,138.0,11.4873847409763
76269,163.0,4209.0,14.0,-14.7482069219176
239220,331.0,4088.0,61.0,19.1228496529026
82125,187.0,2045.0,40.0,12.8641669090645
77658,3940.0,2045.0,19.0,5.70342548562983
618931,2045.0,779.0,134.0,5.86372650490188
54018,554.0,3928.0,8.0,-2.52433240890954
619113,554.0,748.0,135.0,6.15204970079468
239696,4084.0,3078.0,62.0,6.31973617636366
77233,779.0,562.0,16.0,-16.4725253814629
618635,1923.0,3940.0,133.0,5.21582203722736
80008,2048.0,3311.0,29.0,15.2561953024405
233785,4081.0,72.0,59.0,-0.216268145610224
619854,1923.0,282.0,140.0,6.57546592619675
239681,554.0,4212.0,62.0,4.99920583717595
77409,219.0,4207.0,17.0,5.47274888092115
75791,467.0,1896.0,13.0,-7.52474891455051
618772,3325.0,748.0,133.0,0.203937237506641
619549,3311.0,737.0,137.0,3.85609373165897
76017,554.0,356.0,13.0,-4.63655198131196
59536,187.0,3195.0,9.0,6.99553664961186
65049,331.0,2128.0,11.0,2.19222846578544
207584,554.0,282.0,177.0,12.772188528303
79079,163.0,837.0,25.0,-0.56830239500289
78715,1231.0,3311.0,23.0,4.87543973691893
455106,554.0,282.0,119.0,5.26016188729861
619846,1923.0,187.0,140.0,12.2561170570802
239692,2045.0,331.0,62.0,10.8158293253912
287380,3945.0,453.0,79.0,5.07985826265726
288706,3945.0,4088.0,93.0,4.75983762274874
288580,160.0,4087.0,91.0,6.21184272921908
81035,219.0,556.0,35.0,-11.3485171097231
82658,219.0,2039.0,43.0,0.204327923687836
82707,602.0,837.0,43.0,4.10395326192918
82833,779.0,562.0,43.0,-1.83964270165142
82007,3940.0,2128.0,39.0,11.7274342282546
78896,1231.0,3311.0,24.0,0.143841911858518
59715,2045.0,556.0,9.0,11.8352844961492
78086,602.0,466.0,20.0,12.3364127921241
81329,467.0,3010.0,36.0,18.9477685085413
75766,330.0,466.0,13.0,0.407937797066332
455084,3938.0,467.0,119.0,-4.99930177681532
53604,331.0,330.0,7.0,4.61562945538265
81582,2045.0,1896.0,36.0,9.27639282962265
79648,187.0,1867.0,27.0,-1.42079092013909
620461,3940.0,4208.0,144.0,-4.70427089806636
620413,3311.0,737.0,143.0,-3.35917819222425
79100,163.0,787.0,25.0,0.800321451310929
217979,554.0,4085.0,55.0,-120.979962965561
81975,3939.0,330.0,39.0,3.24784522216201
53881,187.0,4210.0,8.0,-4.53962328013555
77491,3939.0,331.0,18.0,8.22756170954944
240033,3938.0,467.0,65.0,-7.12018897711922
77692,1231.0,554.0,19.0,-0.128376986158048
59385,330.0,2622.0,9.0,3.39166033987107
82315,187.0,331.0,42.0,1.76368639265839
81253,160.0,748.0,35.0,4.01996654055818
79660,187.0,3928.0,27.0,-0.235467795940397
271614,3938.0,4091.0,74.0,8.91178908016467
288276,3938.0,282.0,88.0,-0.299221816682724
76814,779.0,219.0,15.0,3.95141307490183
78076,602.0,359.0,20.0,-3.10018583566989
48409,2128.0,282.0,6.0,4.32006632287036
76007,554.0,3195.0,13.0,8.14446930762046
48385,1231.0,2045.0,6.0,4.24373930117365
75856,163.0,295.0,13.0,7.65626690596491
53612,3939.0,3940.0,7.0,4.95556824880519
70437,3940.0,300.0,12.0,3.1558246812257
78308,3939.0,331.0,21.0,10.6793070554599
81474,219.0,3195.0,36.0,-1.40472288863721
77955,187.0,1896.0,20.0,21.8002876653139
81094,554.0,3010.0,35.0,-0.0161062985582071
239873,4081.0,467.0,64.0,-3.67654312611913
76437,602.0,301.0,14.0,-13.5673501617104
245790,2046.0,3945.0,69.0,2.18034552981577
79005,330.0,788.0,25.0,-0.320214422097097
77957,187.0,1867.0,20.0,-2.88047293784611
239789,3938.0,2046.0,63.0,1.00779521427505
53845,163.0,663.0,8.0,-0.0436780881859125
76241,467.0,663.0,14.0,4.87202048981805
48366,187.0,219.0,6.0,2.3155748885754
65096,3943.0,3078.0,11.0,5.55524385727907
619765,282.0,4208.0,139.0,-26.3166141379616
619257,187.0,3325.0,136.0,10.8319099227332
76870,330.0,546.0,16.0,-8.48317763696789
81508,602.0,837.0,36.0,-0.756161685665086
59568,219.0,3940.0,9.0,2.25542799368813
80261,3941.0,330.0,31.0,17.7919682340749
288556,3938.0,3520.0,91.0,5.13230362621636
619759,282.0,737.0,139.0,-6.41607445312697
79031,467.0,1321.0,25.0,-4.01596533361047
76470,554.0,3928.0,14.0,-0.232588263809825
288633,3938.0,3943.0,92.0,2.81630541994823
619293,737.0,437.0,136.0,1.50836768355748
48402,300.0,554.0,6.0,3.9476643990391
81132,2045.0,546.0,35.0,15.3006017979891
81184,779.0,3195.0,35.0,13.0921327332988
287486,219.0,330.0,80.0,5.81671280937816
54064,2045.0,295.0,8.0,-0.69181247504524
53970,602.0,837.0,8.0,1.71570536160748
77377,187.0,300.0,17.0,2.12862520284925
620313,187.0,748.0,143.0,3.73582830304927
53748,330.0,4210.0,8.0,1.46872505585126
80946,163.0,453.0,35.0,-6.46042240369944
78402,3325.0,330.0,21.0,2.91574550992482
619730,554.0,3940.0,139.0,-1.80389198744181
619405,467.0,3940.0,137.0,-6.97606217748986
78485,3939.0,330.0,22.0,-12.9159675266755
82832,779.0,295.0,43.0,0.240044161218322
287724,282.0,4087.0,82.0,3.62777197470388
76255,467.0,356.0,14.0,-7.12028300030651
288008,3938.0,4091.0,85.0,11.0760498910096
76753,163.0,282.0,15.0,13.1753349682724
79785,2045.0,546.0,27.0,2.25203828001189
65059,330.0,300.0,11.0,2.94426470887339
266317,282.0,3945.0,73.0,10.204522006798
59731,2045.0,208.0,9.0,4.58023769208745
78983,330.0,4210.0,25.0,1.40804079775368
619254,187.0,3938.0,136.0,19.1523606148324
620989,282.0,779.0,146.0,4.11646758699394
620602,282.0,4208.0,144.0,11.391752143856
79661,187.0,359.0,27.0,5.60043588187135
620570,554.0,779.0,144.0,9.78332016266719
619810,330.0,157.0,140.0,4.41573367509532
77008,187.0,1896.0,16.0,8.43609171563962
82654,187.0,788.0,43.0,0.0442119415030345
82795,2045.0,295.0,43.0,3.37531005611216
233792,4082.0,3078.0,59.0,-2.42002972139824
81291,330.0,772.0,36.0,6.71178709874926
82180,2048.0,219.0,41.0,-1.75628503085239
287531,4089.0,554.0,80.0,-3.81606665160976
288055,3944.0,3078.0,86.0,1.01245716157022
79065,163.0,281.0,25.0,-6.26028738463331
266328,160.0,4087.0,73.0,13.2800014242302
81698,160.0,1896.0,36.0,-3.18024080258557
77656,3940.0,219.0,19.0,2.29180599720185
65180,282.0,2045.0,11.0,5.40799132884809
619042,1923.0,157.0,135.0,2.39611307070175
240058,554.0,2046.0,65.0,4.19216024937968
54101,779.0,3543.0,8.0,8.49951520415333
228445,453.0,4082.0,57.0,5.47644862642743
619207,467.0,3078.0,136.0,9.5595009467001
81774,282.0,331.0,37.0,16.9323553077932
618993,330.0,3311.0,135.0,-5.97172961660456
239886,4081.0,371.0,64.0,8.98454091227421
76038,2045.0,4210.0,13.0,-0.452097172335618
287521,3938.0,3946.0,80.0,-0.988744408756916
281970,453.0,68.0,76.0,-3.06357657796119
289215,3325.0,4091.0,97.0,3.38769805225277
82305,1321.0,330.0,42.0,-0.39652499141711
79024,467.0,2622.0,25.0,0.22018913160429
618480,3938.0,4208.0,132.0,65.6916299089787
78447,1321.0,330.0,171.0,0.295964461969757
79598,163.0,331.0,27.0,1.97988270255013
54102,779.0,301.0,8.0,-7.40365807244299
620357,737.0,779.0,143.0,5.68771909712976
