,drug_row,drug_col,cell_line_name,synergy_hsa
34916,2317.0,85.0,5.0,1.2527444873059
35699,2765.0,85.0,5.0,5.817465841425
34373,182.0,85.0,5.0,2.2481153862509
35393,2579.0,85.0,5.0,7.8442324337433
35737,2787.0,85.0,5.0,0.803983900549802
34701,2176.0,85.0,5.0,11.7273167243604
35528,760.0,85.0,5.0,-1.8163549349806
34443,1677.0,85.0,5.0,10.4691170262202
35487,2636.0,85.0,5.0,6.0306095421683
34433,1560.0,85.0,5.0,10.1017121973493
35818,993.0,85.0,5.0,5.4248203412586
35102,521.0,85.0,5.0,3.77979152632439
34646,1859.0,85.0,5.0,18.4934719726419
35112,1731.0,85.0,5.0,3.2806793355
34684,2165.0,85.0,5.0,7.4558353293343
35684,208.0,85.0,5.0,37.9613750082222
35430,2601.0,85.0,5.0,24.2258853605277
35149,785.0,85.0,5.0,11.2025232671452
34781,1837.0,85.0,5.0,-6.11626125360361
34670,1183.0,85.0,5.0,-14.6859296266121
36048,2982.0,85.0,5.0,0.246540975449605
35172,2465.0,85.0,5.0,10.7427430316599
34468,2028.0,85.0,5.0,9.0800561946572
35419,1296.0,85.0,5.0,6.202858844335
34677,2159.0,85.0,5.0,10.2555493027812
35387,2575.0,85.0,5.0,-1.6898651503346
36122,312.0,85.0,5.0,23.315400110484
34845,2267.0,85.0,5.0,-8.09752133125985
34753,2211.0,85.0,5.0,13.7772133157384
34527,529.0,85.0,5.0,5.726341325446
35435,2604.0,85.0,5.0,21.8856170539267
34808,821.0,85.0,5.0,22.7412270481656
36110,3016.0,85.0,5.0,5.7533166973649
34575,886.0,85.0,5.0,-8.00283303254981
34912,772.0,85.0,5.0,19.3907358717073
34489,714.0,85.0,5.0,9.04484271457191
35924,614.0,85.0,5.0,11.9833510091431
35663,2747.0,85.0,5.0,-10.8186785182242
35084,2422.0,85.0,5.0,7.2538837281588
35594,79.0,85.0,5.0,-3.87880147360741
35120,2440.0,85.0,5.0,8.5779601821039
34967,1223.0,85.0,5.0,3.2611602373226
34930,2331.0,85.0,5.0,37.6153641379225
34560,845.0,85.0,5.0,21.991080402448
36085,3002.0,85.0,5.0,-3.1829709433195
35781,2814.0,85.0,5.0,-9.41398252894309
35141,242.0,85.0,5.0,19.0090139914592
35511,2650.0,85.0,5.0,15.939379635529
34875,2287.0,85.0,5.0,1.8388795936192
34318,1937.0,85.0,5.0,25.3931765747062
34496,2041.0,85.0,5.0,8.4889546298964
35163,1451.0,85.0,5.0,5.6648765778358
34664,203.0,85.0,5.0,37.1261504812522
34687,2166.0,85.0,5.0,60.5459062842399
35042,2403.0,85.0,5.0,9.7876380318074
34675,2157.0,85.0,5.0,2.9479370203035
34917,2318.0,85.0,5.0,0.128586040535502
35689,2757.0,85.0,5.0,14.2953773107285
35575,363.0,85.0,5.0,11.9366974492302
34972,2360.0,85.0,5.0,3.1852557414359
35231,1060.0,85.0,5.0,2.1273304730706
34472,335.0,85.0,5.0,14.1413477249592
35002,1337.0,85.0,5.0,12.7677046157771
34726,2192.0,85.0,5.0,16.8132634461546
34717,2186.0,85.0,5.0,18.5162167182813
35926,304.0,85.0,5.0,30.7947358457239
34850,2271.0,85.0,5.0,2.975614826867
34984,1873.0,85.0,5.0,4.2641855005193
34482,729.0,85.0,5.0,9.3041083910003
35257,871.0,85.0,5.0,-1.744967405606
35016,2389.0,85.0,5.0,-10.3945621684474
36074,638.0,85.0,5.0,-14.2246530418132
34852,2273.0,85.0,5.0,13.9699537209378
35920,1051.0,85.0,5.0,26.5470495843363
35089,1175.0,85.0,5.0,-4.1243972924917
35052,1073.0,85.0,5.0,14.6883706330538
35098,1702.0,85.0,5.0,15.1603520748143
34511,2050.0,85.0,5.0,6.09515383889439
35767,2803.0,85.0,5.0,5.2765489049489
35869,2876.0,85.0,5.0,13.6721814384909
35328,2542.0,85.0,5.0,-3.1823458516797
35446,2613.0,85.0,5.0,5.3223363480097
35228,3.0,85.0,5.0,6.0176601109006
35902,85.0,85.0,5.0,22.246305570965
35997,2946.0,85.0,5.0,9.4986900875521
35676,2750.0,85.0,5.0,6.2465530801303
35600,2708.0,85.0,5.0,27.2559685892938
35595,2704.0,85.0,5.0,-3.225346978303
35572,2690.0,85.0,5.0,3.6525529180953
35809,2835.0,85.0,5.0,13.2394577099981
34892,2301.0,85.0,5.0,48.3798914733671
34855,127.0,85.0,5.0,5.168332119184
34889,2299.0,85.0,5.0,12.1738568506321
34428,2008.0,85.0,5.0,9.0721277425663
36060,2989.0,85.0,5.0,-12.6071006550334
35776,1455.0,85.0,5.0,0.7611807648907
35553,2676.0,85.0,5.0,-4.6519469145317
35937,2910.0,85.0,5.0,27.1312446177566
34824,2250.0,85.0,5.0,7.2310294576626
35072,305.0,85.0,5.0,5.8928052722496
35037,2399.0,85.0,5.0,32.2116966417387
34508,490.0,85.0,5.0,-1.2568677993618
35051,1072.0,85.0,5.0,6.9838882513133
35080,2419.0,85.0,5.0,6.9371575436246
34865,2279.0,85.0,5.0,-0.0506031877710988
35283,2515.0,85.0,5.0,14.1409749329911
35378,2568.0,85.0,5.0,-9.68464719054401
34934,2333.0,85.0,5.0,2.6885558023824
34796,2233.0,85.0,5.0,-5.4550976348658
35057,567.0,85.0,5.0,31.8885150539532
35363,2560.0,85.0,5.0,6.7214861429169
35865,1544.0,85.0,5.0,-2.5346522067419
34910,2313.0,85.0,5.0,8.2000294256541
35255,2503.0,85.0,5.0,-0.735640522723997
35003,2382.0,85.0,5.0,-0.308964683133699
35879,2882.0,85.0,5.0,34.1116997727308
34938,2337.0,85.0,5.0,6.4623622907676
34697,2172.0,85.0,5.0,6.3595441816933
