,drug_row,drug_col,cell_line_name,synergy_hsa
505256,788.0,203.0,169.0,2.30820817532023
491657,2619.0,716.0,183.0,-3.15131176382752
396400,374.0,3928.0,111.0,-9.11133772723038
487555,277.0,1257.0,182.0,-29.0456797627955
392515,2310.0,748.0,111.0,8.24632995513018
500786,2310.0,548.0,126.0,-37.0736003506279
508974,195.0,674.0,169.0,-26.9647255199539
485171,2421.0,2088.0,182.0,-57.3132509133684
488003,3379.0,4151.0,182.0,0.457520551099025
429979,419.0,2310.0,115.0,-2.06141422009603
431403,545.0,313.0,115.0,-14.3018171415235
364872,724.0,4153.0,108.0,-15.2219553306449
429091,2310.0,2426.0,115.0,-16.3400907890722
495014,4150.0,466.0,125.0,-0.962902373632125
472795,788.0,2088.0,123.0,43.2489119321295
361738,143.0,4157.0,108.0,18.0103614156272
457561,552.0,4157.0,120.0,-24.7722227566843
386550,482.0,2426.0,110.0,-1.7093590783961
431988,4156.0,1225.0,115.0,-37.4406512313278
481282,545.0,364.0,124.0,48.9369870571939
471121,1904.0,1238.0,122.0,-10.5062784380023
365414,604.0,2451.0,108.0,-95.4382943078793
439829,765.0,2421.0,116.0,-33.8481274393318
503887,277.0,741.0,126.0,-21.804181178091
391567,682.0,254.0,111.0,-42.7383620310264
441642,281.0,1330.0,116.0,27.1101066385806
350854,1904.0,364.0,106.0,-10.7052825375504
510490,453.0,674.0,127.0,-17.0007082065946
508008,484.0,2026.0,169.0,-6.57552580922388
500609,821.0,836.0,126.0,-50.9009151274906
498004,4154.0,466.0,125.0,-29.7670152543616
488384,374.0,687.0,182.0,-0.36237859192396
382821,682.0,724.0,110.0,-13.7169638440861
351273,524.0,1225.0,106.0,-11.7831643231888
505269,788.0,3928.0,169.0,-4.69886311325066
466997,249.0,267.0,122.0,-21.4323146893574
486555,281.0,552.0,182.0,-42.1997255240121
432806,655.0,765.0,115.0,-17.220443275451
467478,4150.0,2426.0,122.0,-8.00766589773168
459932,2913.0,4156.0,120.0,-11.7019502137571
489197,4148.0,354.0,183.0,-32.6284016442602
346911,574.0,364.0,106.0,3.32482453300611
462045,2310.0,143.0,121.0,-56.2931292085674
417804,467.0,4149.0,114.0,-29.7255286213657
518142,716.0,674.0,128.0,3.40419135517262
486669,2677.0,3928.0,182.0,-5.49022716958781
405700,604.0,482.0,112.0,-8.4329310325385
446981,364.0,1238.0,181.0,9.328817877879
516949,1909.0,523.0,128.0,23.390515509104
503117,545.0,442.0,126.0,-41.4342376186331
470033,484.0,3010.0,122.0,8.19559299568607
428814,4150.0,552.0,115.0,9.79518467117398
491252,3214.0,2832.0,183.0,-23.9806417883864
367056,548.0,4158.0,108.0,-54.6645278427337
362082,574.0,3100.0,108.0,-30.7233594301798
520524,2913.0,364.0,128.0,10.6435778982394
491622,2619.0,467.0,183.0,3.11376457263851
500436,229.0,3010.0,126.0,-21.2336563733548
513166,2555.0,687.0,127.0,3.51128752227181
432574,3379.0,249.0,115.0,10.1321146376915
488159,31.0,466.0,182.0,-20.4162613291217
