,drug_row,drug_col,cell_line_name,synergy_hsa
156730,207.0,604.0,47.0,-1.52666567686035
157483,983.0,604.0,47.0,-6.24374212953375
158518,228.0,127.0,47.0,-25.9634190856105
158430,72.0,123.0,47.0,7.83958411537689
158290,1791.0,604.0,47.0,-0.371410596860335
158272,1773.0,604.0,47.0,-5.74491823686034
157823,1323.0,604.0,47.0,-4.43209976096288
157161,632.0,604.0,47.0,2.97488407711652
157073,2523.0,604.0,47.0,8.12160192474051
158458,72.0,788.0,47.0,4.43922076994988
158024,1523.0,604.0,47.0,-9.17056136675251
158764,413.0,296.0,47.0,1.51538397177399
157974,1474.0,604.0,47.0,-0.208348163603734
157309,809.0,604.0,47.0,-4.08258011686034
157138,606.0,604.0,47.0,2.84342623954302
157757,1257.0,604.0,47.0,1.49549732595425
156874,351.0,604.0,47.0,7.0497464255182
156546,21.0,604.0,47.0,-0.135023868623725
157239,737.0,604.0,47.0,2.52446198390743
157451,951.0,604.0,47.0,2.31743039555409
158018,1517.0,604.0,47.0,6.5244360893981
158039,1538.0,604.0,47.0,0.868793319332199
158442,407.0,123.0,47.0,1.46517655984666
156528,2.0,604.0,47.0,1.34637716514535
156607,85.0,604.0,47.0,0.453365888149268
156824,300.0,604.0,47.0,7.15667992999692
158154,1655.0,604.0,47.0,-4.82441067093033
156922,401.0,604.0,47.0,-0.997263479802102
156608,86.0,604.0,47.0,-0.313622659032471
158034,1533.0,604.0,47.0,6.35943339688577
157798,1298.0,604.0,47.0,1.01046800496714
158401,753.0,316.0,47.0,-3.02348846184535
156615,93.0,604.0,47.0,-1.57437732042161
158608,228.0,72.0,47.0,-11.5597199675986
157095,558.0,604.0,47.0,-11.6420237674163
632347,1330.0,604.0,48.0,-1.1014208729139363
157484,984.0,604.0,47.0,-2.19016763507023
158445,228.0,123.0,47.0,-5.16713570432918
158192,1693.0,604.0,47.0,-2.75453928444592
158380,75.0,101.0,47.0,6.72520015638528
158021,1520.0,604.0,47.0,5.08521980466623
158825,659.0,604.0,47.0,3.77075019920532
157321,821.0,604.0,47.0,5.66631124512183
156568,44.0,604.0,47.0,4.19507941668278
157337,837.0,604.0,47.0,1.19775933323709
157965,1465.0,604.0,47.0,-4.16485207971404
157863,1363.0,604.0,47.0,2.4025082762505
157699,1199.0,604.0,47.0,-0.958821617541906
157076,3254.0,604.0,47.0,19.1064501741909
157749,1249.0,604.0,47.0,1.17002375555409
157108,572.0,604.0,47.0,-9.47359496543121
157246,744.0,604.0,47.0,2.47508552082026
158690,397.0,227.0,47.0,-20.2013660722765
632357,451.0,604.0,48.0,0.5546194929947446
158426,127.0,123.0,47.0,-25.8797413886884
158611,216.0,72.0,47.0,-2.35433062646586
157743,1243.0,604.0,47.0,2.55428305760318
158218,1719.0,604.0,47.0,-5.4555595254312
156981,465.0,604.0,47.0,5.61085626985934
157288,786.0,604.0,47.0,3.56601885077549
157837,1337.0,604.0,47.0,-5.18936876096288
156873,350.0,604.0,47.0,-1.77695666592073
156765,241.0,604.0,47.0,-0.71490027853759
158520,31.0,127.0,47.0,8.74945203915262
157291,791.0,604.0,47.0,-1.89849763113081
158315,1816.0,604.0,47.0,14.3738520355541
158210,1711.0,604.0,47.0,9.3945911416275
158051,1550.0,604.0,47.0,-4.53987199185075
156666,144.0,604.0,47.0,-0.597438643603726
157511,1011.0,604.0,47.0,-9.54314115686034
158395,788.0,316.0,47.0,5.19285331209698
157424,924.0,604.0,47.0,9.90866289404191
157412,912.0,604.0,47.0,1.56769212104007
632343,3932.0,413.0,48.0,-0.2672927240789681
158599,1330.0,72.0,47.0,0.996802240298342
157880,1380.0,604.0,47.0,-2.19133390119868
158628,228.0,475.0,47.0,-10.8822713609377
157857,1357.0,604.0,47.0,-8.61098251686033
157939,1439.0,604.0,47.0,-0.542773876860346
156846,322.0,604.0,47.0,-0.719113197702521
158406,317.0,316.0,47.0,-6.09161991366868
157320,820.0,604.0,47.0,2.4825618850005
157393,893.0,604.0,47.0,-0.158007398181643
158446,413.0,123.0,47.0,-4.99005147473573
632299,420.0,604.0,47.0,-6.365444368547156
157685,1185.0,604.0,47.0,-1.27357707686034
157944,1444.0,604.0,47.0,-1.02221998595808
158662,407.0,731.0,47.0,-0.602871982873777
157765,1265.0,604.0,47.0,-1.48682991686033
157208,704.0,604.0,47.0,0.706981377968974
158530,731.0,37.0,47.0,-0.832618966896749
157353,853.0,604.0,47.0,3.37020200134371
157694,1194.0,604.0,47.0,-0.627925356860342
158080,1580.0,604.0,47.0,1.75268454886722
158181,1682.0,604.0,47.0,-0.176350324445918
157623,1123.0,604.0,47.0,3.84136696412495
157091,3211.0,604.0,47.0,-11.5586764444459
158661,914.0,731.0,47.0,-10.2041089412678
156829,305.0,604.0,47.0,7.48420505419086
158712,1280.0,1330.0,47.0,1.79140654936921
156927,406.0,604.0,47.0,-5.6135197511308
158751,1280.0,406.0,47.0,1.07804763662307
156778,254.0,604.0,47.0,-2.86500755533378
157165,651.0,604.0,47.0,-1.38433203119784
158745,1352.0,75.0,47.0,-1.05197721430291
157501,1001.0,604.0,47.0,10.1877467671248
156741,218.0,604.0,47.0,-0.0769467968603345
158136,1637.0,604.0,47.0,-3.37227565037593
158357,1858.0,604.0,47.0,11.2149775542111
156550,25.0,604.0,47.0,3.95192696466623
158386,1280.0,101.0,47.0,1.4905049362612
158378,1330.0,101.0,47.0,1.10795362802649
156932,411.0,604.0,47.0,-5.01176120444592
157727,1227.0,604.0,47.0,2.46260857214689
157244,742.0,604.0,47.0,-7.95258307686033
157813,1313.0,604.0,47.0,4.92594742401279
158405,731.0,316.0,47.0,-3.50394339503211
157938,1438.0,604.0,47.0,0.453727033368828
157438,938.0,604.0,47.0,-1.21914884675251
157636,1136.0,604.0,47.0,4.35924023142002
157933,1433.0,604.0,47.0,0.477396323139663
156631,109.0,604.0,47.0,4.24278213784938
158667,31.0,731.0,47.0,8.53900136488488
157352,852.0,604.0,47.0,-5.66694283185073
157128,596.0,604.0,47.0,-14.4428324368603
157116,582.0,604.0,47.0,-7.82026831686034
156580,57.0,604.0,47.0,5.30085996761825
157921,1421.0,604.0,47.0,2.42566260466623
157631,1131.0,604.0,47.0,7.10634825245881
156952,433.0,604.0,47.0,1.77423615190715
158507,317.0,127.0,47.0,-2.83460577112286
156586,64.0,604.0,47.0,10.9878994687584
158493,75.0,1275.0,47.0,4.30850378209648
156893,371.0,604.0,47.0,2.48562128857958
158124,1625.0,604.0,47.0,-7.40522071686034
158671,15.0,731.0,47.0,10.0778330523341
157948,1448.0,604.0,47.0,0.406642681343728
158384,407.0,101.0,47.0,-2.14790756357038
157474,974.0,604.0,47.0,0.820901441818353
157037,521.0,604.0,47.0,0.648863478722507
157087,3102.0,604.0,47.0,9.95890829156159
158259,1760.0,604.0,47.0,-3.11486793268253
156847,323.0,604.0,47.0,-4.07798595686034
157514,1014.0,604.0,47.0,9.15715921614151
632353,664.0,604.0,48.0,-5.492838506030593
158193,1694.0,604.0,47.0,1.04939393934259
158792,31.0,419.0,47.0,11.8858915918557
157287,785.0,604.0,47.0,-1.31319810065741
157670,1170.0,604.0,47.0,2.07655242896719
158525,359.0,37.0,47.0,-6.20484384097524
157960,1460.0,604.0,47.0,-3.44525299503285
157481,981.0,604.0,47.0,7.80525076953334
157523,1023.0,604.0,47.0,3.19531203486386
632360,352.0,604.0,48.0,1.6612773771254767
158460,453.0,788.0,47.0,2.71208847902472
156891,369.0,604.0,47.0,7.48730188906968
158345,1846.0,604.0,47.0,7.45234572561999
157716,1216.0,604.0,47.0,7.63690315942311
157760,1260.0,604.0,47.0,2.1396968801979
632329,659.0,604.0,48.0,-3.322917290138413
157480,980.0,604.0,47.0,2.58832987190715
156701,178.0,604.0,47.0,-3.49600255686034
157318,818.0,604.0,47.0,-0.732118724445912
157568,1068.0,604.0,47.0,-20.4589006768603
156588,66.0,604.0,47.0,-5.85565884312462
158162,1663.0,604.0,47.0,-2.76450749266296
158788,15.0,407.0,47.0,-3.10932220685233
157047,534.0,604.0,47.0,5.21849301488409
158685,216.0,317.0,47.0,-3.96849537391403
156544,19.0,604.0,47.0,2.63377764972253
158285,1786.0,604.0,47.0,2.78679260280539
157275,773.0,604.0,47.0,3.90294528889759
156758,234.0,604.0,47.0,-11.2038346309303
156626,104.0,604.0,47.0,-2.62094350760782
158824,15.0,1352.0,47.0,6.60845375232344
157940,1440.0,604.0,47.0,-9.49266820444592
157611,1111.0,604.0,47.0,-0.0757225927262689
156696,174.0,604.0,47.0,12.4795090062283
157372,872.0,604.0,47.0,1.85675545419086
