,drug_row,drug_col,cell_line_name,synergy_hsa
618318,827.0,827.0,130.0,-3.20153115038362
618231,2490.0,827.0,129.0,3.53338167685698
618332,3023.0,216.0,130.0,10.709885090238
618343,751.0,2490.0,130.0,10.175810895877
618298,2373.0,420.0,130.0,3.37172457911035
618257,345.0,2490.0,129.0,2.65390113887988
618182,296.0,556.0,129.0,15.5024000922071
618285,296.0,4077.0,130.0,5.85760962206889
618216,3023.0,556.0,129.0,2.20375875923505
618229,216.0,827.0,129.0,1.58732948610928
618287,295.0,4077.0,130.0,8.25275035023371
618212,252.0,556.0,129.0,26.6958805778483
618213,2490.0,556.0,129.0,8.49262233088455
618211,216.0,556.0,129.0,2.75588498284096
618329,2490.0,216.0,130.0,4.70636250871427
618265,4240.0,283.0,129.0,4.61007249844854
618234,3023.0,827.0,129.0,3.31912151421713
618200,341.0,4077.0,129.0,6.91927423666481
618296,331.0,4077.0,130.0,4.51822288084258
618228,827.0,827.0,129.0,2.34199512464063
618210,827.0,556.0,129.0,8.24180563773102
618266,345.0,283.0,129.0,9.3223308309834
618280,329.0,556.0,130.0,13.5661345884115
618357,3023.0,3023.0,130.0,-1.42317843082986
618237,216.0,216.0,129.0,3.91862222692088
618218,331.0,331.0,129.0,-3.27885416378905
618320,252.0,827.0,130.0,11.0584961725854
618275,359.0,556.0,130.0,7.00819804911398
618354,3023.0,283.0,130.0,7.6262936464381
618222,2490.0,331.0,129.0,1.22969036390783
618281,325.0,556.0,130.0,11.4985895139414
618360,4240.0,4240.0,130.0,-1.54052389176883
618259,283.0,751.0,129.0,1.37953880880382
618356,345.0,283.0,130.0,12.6613708060963
618352,345.0,751.0,130.0,5.93299861355471
618247,751.0,252.0,129.0,6.50335522573117
618188,352.0,556.0,129.0,15.1533225507422
618286,300.0,4077.0,130.0,6.082757488306
618314,283.0,331.0,130.0,-10.5440765204226
618240,751.0,216.0,129.0,1.55657941579465
618224,283.0,331.0,129.0,2.05832551318936
618276,343.0,556.0,130.0,16.7354605490055
618223,751.0,331.0,129.0,3.25436128136076
618348,751.0,751.0,130.0,-2.37383731980553
618192,334.0,556.0,129.0,14.7434463369042
618233,283.0,827.0,129.0,7.76141326373473
618269,345.0,3023.0,129.0,10.3302213350253
618290,341.0,4077.0,130.0,7.81878145457208
618284,1483.0,556.0,130.0,3.23764413937558
618337,751.0,252.0,130.0,6.59533575442949
618346,4240.0,2490.0,130.0,10.2281716846677
618193,331.0,556.0,129.0,-0.0008950992815675
618198,359.0,4077.0,129.0,8.30396470735847
618313,751.0,331.0,130.0,-0.904673045883321
618327,216.0,216.0,130.0,5.21595359992251
618186,343.0,556.0,129.0,17.6065131034895
618203,329.0,4077.0,129.0,10.8104438957915
618227,345.0,331.0,129.0,7.64250639118633
618271,345.0,4240.0,129.0,-0.0008950992815675
618334,345.0,216.0,130.0,8.83404003565823
618191,325.0,556.0,129.0,9.93512923752702
618304,751.0,556.0,130.0,3.36988785808269
618185,359.0,556.0,129.0,15.3638304562648
618336,2490.0,252.0,130.0,3.84751760382582
618248,283.0,252.0,129.0,7.27501969299931
618241,283.0,216.0,129.0,4.75603217456231
618307,4240.0,556.0,130.0,10.8354314236207
618236,345.0,827.0,129.0,4.46506329492499
618308,331.0,331.0,130.0,-4.47151235453002
618258,751.0,751.0,129.0,-1.26677661098089
618359,345.0,3023.0,130.0,23.8815361577194
618279,345.0,556.0,130.0,-0.0008950992815675
618353,283.0,283.0,130.0,1.59885504629706
618292,345.0,4077.0,130.0,25.3358911331483
618230,252.0,827.0,129.0,8.04379102698661
618255,3023.0,2490.0,129.0,6.01881048462376
618291,352.0,4077.0,130.0,10.1696558507172
618238,252.0,216.0,129.0,3.85190340601672
618289,343.0,4077.0,130.0,2.70642156059662
618342,2490.0,2490.0,130.0,0.751783364523039
618209,556.0,556.0,129.0,-1.34977194719545
618252,2490.0,2490.0,129.0,4.04083953431451
618274,295.0,556.0,130.0,10.5452982906544
618221,252.0,331.0,129.0,2.13074836248532
618355,4240.0,283.0,130.0,2.11744556517852
618256,4240.0,2490.0,129.0,2.7458478125963
618260,3023.0,751.0,129.0,1.7766989102073
618344,283.0,2490.0,130.0,4.56829983592558
618226,4240.0,331.0,129.0,5.11028374376782
618217,4240.0,556.0,129.0,8.41732998239817
618312,2490.0,331.0,130.0,3.54192214977151
618351,4240.0,751.0,130.0,-1.19634787330856
618184,295.0,556.0,129.0,15.1553372373648
618246,2490.0,252.0,129.0,2.73576936021788
618347,345.0,2490.0,130.0,16.3936014265327
618306,3023.0,556.0,130.0,3.42730054823113
618301,216.0,556.0,130.0,4.39762548101524
618330,751.0,216.0,130.0,1.81539898456147
618288,359.0,4077.0,130.0,7.74902354371756
618273,300.0,556.0,130.0,8.53343377993822
618335,252.0,252.0,130.0,0.47259227875955
618361,345.0,4240.0,130.0,-0.0008950992815675
618208,2373.0,420.0,129.0,2.66647933866135
618270,4240.0,4240.0,129.0,-0.607503506252333
618309,827.0,331.0,130.0,0.201491282702465
618199,343.0,4077.0,129.0,7.67972443498275
618293,329.0,4077.0,130.0,6.62048309911012
618305,283.0,556.0,130.0,9.2282576186912
