,drug_row,drug_col,cell_line_name,synergy_loewe
240189,554.0,157.0,66.0,15.1707062740051
288370,3938.0,277.0,89.0,-8.31823106292597
78083,602.0,787.0,20.0,-0.37260994809142
78551,1231.0,3311.0,22.0,-3.49234790727464
70406,3939.0,554.0,12.0,1.078613817205
619479,3946.0,3938.0,137.0,1.66223878447384
288227,3520.0,3941.0,87.0,16.1200765178072
76482,2045.0,331.0,14.0,19.1197941230456
620128,219.0,3336.0,142.0,8.21490964932089
620802,3311.0,187.0,145.0,0.221215155622154
78359,187.0,2128.0,21.0,-21.8373015400804
620299,1923.0,3325.0,143.0,-9.86209856886108
217996,160.0,4089.0,55.0,-46.4874392071989
619436,1923.0,157.0,137.0,4.23122191505942
245805,277.0,3078.0,69.0,-3.46004160381948
75880,187.0,772.0,13.0,4.55635141738655
240115,467.0,467.0,66.0,-1.23804927002462
287317,3938.0,4090.0,78.0,-18.3018974414337
239287,3938.0,4214.0,61.0,8.67297274485934
82592,163.0,4209.0,43.0,-13.2508370504556
81702,160.0,663.0,36.0,-7.85269839152173
81771,2045.0,282.0,37.0,0.817374470769676
287790,3938.0,3944.0,83.0,9.61027220629015
239237,453.0,282.0,61.0,-0.763509074280658
288015,2045.0,331.0,85.0,1.13088170405452
48420,3325.0,3311.0,6.0,3.15147133100028
80704,3939.0,282.0,34.0,-2.12169926516515
81149,2045.0,232.0,35.0,-42.2589451255582
287225,3938.0,282.0,77.0,5.92976502180713
81163,779.0,331.0,35.0,-29.6845006259482
75908,1867.0,2045.0,13.0,-1.12695024149687
620566,554.0,3078.0,144.0,-0.255639230977642
288838,779.0,3945.0,94.0,-0.515923369249002
78499,2048.0,219.0,22.0,2.12616201824644
81633,779.0,229.0,36.0,-1.44974383520114
53671,1231.0,331.0,7.0,-4.96279590212151
77288,160.0,1896.0,16.0,-9.24681757022974
620998,3311.0,748.0,146.0,1.98449450597614
78160,2045.0,282.0,20.0,-1.56117581230164
77302,160.0,3928.0,16.0,9.4915889205223
79660,187.0,3928.0,27.0,-3.12761384045269
620319,187.0,157.0,143.0,-8.02083830457642
79794,2045.0,663.0,27.0,-4.1867500508476
76064,3928.0,2045.0,13.0,13.4343398989116
240113,467.0,2038.0,66.0,13.1853138332356
80870,330.0,2039.0,35.0,2.51296229459079
78802,3939.0,330.0,24.0,0.261928919546183
79612,163.0,837.0,27.0,-1.00508203038775
78061,602.0,1896.0,20.0,8.64037450750828
80040,187.0,282.0,29.0,-19.9512458458436
287374,467.0,3941.0,79.0,-7.65710079176039
81326,467.0,2039.0,36.0,-9.48205964842123
620160,737.0,3078.0,142.0,-49.0856923238035
80496,3940.0,2045.0,33.0,-12.3790153873852
53769,330.0,787.0,8.0,-6.11271609962469
76738,3942.0,554.0,15.0,6.90377025929265
620250,330.0,282.0,143.0,-16.0745861441265
78832,3940.0,331.0,24.0,-4.21714612415765
76304,1971.0,282.0,14.0,-1.09136260994704
76869,330.0,3010.0,16.0,-3.136863593753
620637,330.0,219.0,145.0,-5.6940583994149
288957,4087.0,3078.0,96.0,2.03454355435683
77704,779.0,3940.0,19.0,-1.33559189513604
53626,2048.0,2045.0,7.0,0.335950466903754
228544,4084.0,3078.0,57.0,-14.7940322709882
619458,219.0,437.0,137.0,4.70491183083968
54063,2045.0,356.0,8.0,-12.513575572979
629490,453.0,4084.0,55.0,-14.991911579163476
239122,467.0,467.0,60.0,0.742316509502327
650570,219.0,3928.0,14.0,1.3464471455946498
266337,68.0,3941.0,73.0,12.675735928642
77985,1896.0,282.0,20.0,4.57360869747016
620036,330.0,219.0,142.0,-41.6457325704641
77631,3939.0,219.0,19.0,-6.6963834266563
75817,1321.0,331.0,13.0,-20.7594704066518
620773,2045.0,737.0,145.0,-6.85295384385671
76377,219.0,1896.0,14.0,-21.3583820695299
77959,187.0,663.0,20.0,-11.5182063424904
620742,3946.0,3325.0,145.0,-45.7423596888944
619975,3311.0,437.0,140.0,4.74151911053592
76184,330.0,3195.0,14.0,-26.3358464319309
79718,602.0,1896.0,27.0,2.36568712210535
81915,300.0,2045.0,38.0,-4.13968657011527
288166,3945.0,277.0,87.0,6.10826043269782
619115,554.0,779.0,135.0,5.68973870651306
77199,3928.0,330.0,16.0,8.14464978784293
75864,187.0,330.0,13.0,7.94062139675501
81107,554.0,737.0,35.0,-5.80620436323483
81381,163.0,1867.0,36.0,3.99345525801569
287725,282.0,3945.0,82.0,7.95527228952818
81628,779.0,772.0,36.0,-19.8333150325822
76477,554.0,562.0,14.0,-18.5012758908989
619309,554.0,3940.0,136.0,-3.85628647378069
288611,3945.0,4087.0,92.0,4.50987578903229
288598,4088.0,556.0,92.0,-31.2078305142125
80797,219.0,282.0,34.0,10.8263041563395
81927,3325.0,331.0,38.0,-16.5659006807361
59687,554.0,282.0,9.0,0.521265390543969
240322,4081.0,371.0,67.0,8.11605265173999
271598,3938.0,3078.0,74.0,2.85152318136817
239211,160.0,4089.0,60.0,-16.9319014542405
288704,3945.0,453.0,93.0,-3.48806472817159
53643,3940.0,2128.0,7.0,-2.26636434879393
70539,3325.0,331.0,12.0,1.77323807577761
620666,467.0,748.0,145.0,-0.945535745467597
80221,3311.0,2045.0,30.0,5.39197326884253
228511,3938.0,2046.0,57.0,-13.8894571930276
288041,370.0,4091.0,85.0,10.4380601995195
78465,556.0,282.0,171.0,-1.97980675341392
620017,219.0,3938.0,141.0,-6.54362040534002
239628,4081.0,554.0,62.0,4.11133186521882
239212,160.0,4211.0,60.0,6.98694032702849
619535,282.0,737.0,137.0,-0.309772515894888
618967,3325.0,3940.0,134.0,5.21897835194733
54081,779.0,4209.0,8.0,-11.392186794996
81811,3078.0,3940.0,38.0,-3.18053753124455
620405,282.0,4208.0,143.0,8.11819164721757
78942,3325.0,554.0,24.0,5.99167678672639
77161,2045.0,281.0,16.0,-23.4062343768543
287426,282.0,4087.0,79.0,2.14188969303706
77778,330.0,2039.0,20.0,-9.42518332603023
239656,3938.0,453.0,62.0,-3.29938467303959
81156,2045.0,356.0,35.0,-44.7705896341237
618652,4166.0,748.0,133.0,-10.3731350653564
82753,554.0,2890.0,43.0,-13.3435520100537
79382,282.0,331.0,25.0,6.765251475829
81037,219.0,229.0,35.0,23.9652000098438
59498,163.0,229.0,9.0,-10.2161893992968
76083,779.0,737.0,13.0,-5.19923788566599
65085,3940.0,2045.0,11.0,-2.76907356342193
217880,331.0,4088.0,55.0,-4.21113400140112
79341,779.0,787.0,25.0,-6.10604351883978
78913,2045.0,554.0,24.0,4.79118644961923
77047,219.0,453.0,16.0,-5.50105048577369
619141,282.0,737.0,135.0,-3.97841948169742
288417,3942.0,556.0,90.0,14.7661357642958
233764,467.0,779.0,59.0,-12.4920799237448
78268,3325.0,3311.0,20.0,-6.89946978829903
77217,779.0,748.0,16.0,-7.93802785205904
82807,779.0,546.0,43.0,-7.07288712493691
288146,3944.0,3078.0,87.0,-0.497525371959559
82675,219.0,3336.0,43.0,5.03869316664912
287427,282.0,3945.0,79.0,-19.702102226104
288356,3938.0,3078.0,89.0,-7.99957031296167
78013,219.0,540.0,20.0,11.5940114233781
82140,554.0,2045.0,40.0,-4.4832776880893
618920,554.0,3325.0,134.0,-6.69832373277656
82797,2045.0,787.0,43.0,41.1800148779153
76332,187.0,232.0,14.0,5.66802311112656
80590,282.0,554.0,33.0,-7.28337263507925
81562,554.0,295.0,36.0,-11.2080908182585
79943,3945.0,282.0,28.0,6.22639400714279
75840,163.0,748.0,13.0,-10.5189026461915
79810,2045.0,295.0,27.0,3.67426804810275
82023,187.0,282.0,39.0,-14.6589743129728
288174,3938.0,3078.0,87.0,1.96148057387956
53883,187.0,837.0,8.0,-8.37468223619558
288225,68.0,3941.0,87.0,7.17715513559948
619369,157.0,219.0,136.0,-1.96729731761845
289228,3520.0,3941.0,97.0,-10.4268789264088
620415,3311.0,554.0,143.0,17.832635057331
77398,219.0,2039.0,17.0,-1.6403750591604
288924,554.0,3942.0,95.0,15.0054047874355
59467,467.0,208.0,9.0,-9.36144718821234
79557,330.0,787.0,27.0,-0.228071108311469
