,drug_row,drug_col,cell_line_name,synergy_loewe
627661,4172.0,2852.0,103.0,-2.45664636954667
634001,4176.0,642.0,12.0,-13.455574424360517
625533,307.0,377.0,177.0,-4.227615097897426
633854,555.0,595.0,12.0,1.265005105504615
644615,1938.0,595.0,60.0,-2.993494068281802
625574,4176.0,263.0,177.0,-6.68632129655503
624311,4174.0,595.0,51.0,-2.7815104465470832
627691,263.0,4175.0,103.0,1.38611233810198
624350,595.0,3361.0,51.0,-8.364266008909501
647896,340.0,2852.0,116.0,-18.07040495393795
624654,4176.0,3361.0,150.0,-6.298973904160533
647871,4173.0,3297.0,116.0,-4.95657431908643
624641,4175.0,595.0,150.0,-10.628880936200352
625421,555.0,307.0,177.0,-15.340403228889835
644748,307.0,3361.0,60.0,-2.571310197382957
625544,604.0,642.0,177.0,-2.7419927980411583
624527,4173.0,4176.0,150.0,-4.784319811553494
627687,263.0,3297.0,103.0,-4.429218512676079
625432,4173.0,2088.0,177.0,-10.682577160269991
624371,307.0,4172.0,51.0,-3.065805216063303
625551,263.0,642.0,177.0,-8.375804550773033
633958,4172.0,604.0,12.0,-10.040202128540194
627672,307.0,3361.0,103.0,3.745750840971967
627613,4174.0,604.0,103.0,-10.19170497910612
625480,4174.0,4175.0,177.0,-0.1997184205493864
625490,430.0,307.0,177.0,-5.728833131199592
624620,307.0,604.0,150.0,-6.811383407213214
625476,4174.0,595.0,177.0,-3.3592921384521848
633874,4173.0,307.0,12.0,-14.672480072204198
634011,4176.0,2852.0,12.0,-1.11454135212617
644663,340.0,377.0,60.0,24.127230007754225
624404,4176.0,3297.0,51.0,3.0101892016635188
633873,4173.0,4172.0,12.0,-5.071046760031541
633966,307.0,2088.0,12.0,-2.222467844571
644695,430.0,555.0,60.0,-12.964277370301408
627595,340.0,4175.0,103.0,13.654032422604017
633964,307.0,555.0,12.0,-0.6833978036632942
647985,263.0,1938.0,116.0,-5.659970291798108
624271,4173.0,3297.0,51.0,-1.3341642618668674
624509,555.0,4176.0,150.0,-1.263642192515681
624604,4172.0,3361.0,150.0,-6.375281448372252
625419,555.0,595.0,177.0,-10.182684205243037
625538,307.0,604.0,177.0,-9.015040583605728
644750,307.0,263.0,60.0,-6.947333535526738
625460,340.0,4175.0,177.0,12.576531209541995
644658,340.0,642.0,60.0,-1.193847624422793
644623,642.0,4175.0,60.0,6.243293791053419
642424,377.0,595.0,2.0,-7.083352706370255
633865,4173.0,555.0,12.0,1.2519058827000185
647859,555.0,263.0,116.0,-11.15328638003936
633859,555.0,263.0,12.0,-4.377445051664385
624317,430.0,1938.0,51.0,-5.734936421703647
627572,4173.0,595.0,103.0,-5.03397802288857
647868,4173.0,4174.0,116.0,-12.492115570756091
633918,430.0,642.0,12.0,-6.54693461511872
624613,307.0,2088.0,150.0,8.425304013329301
642452,307.0,4174.0,2.0,-1.7657998528697505
625424,555.0,263.0,177.0,-6.691723053940591
627610,4174.0,3297.0,103.0,-4.537691886282599
624574,430.0,604.0,150.0,-12.386391732093925
624589,377.0,3361.0,150.0,-1.568360565518935
633981,604.0,595.0,12.0,-5.186230226477275
644675,2088.0,642.0,60.0,-2.378552790165764
625417,555.0,4174.0,177.0,-15.22095042167066
625493,430.0,263.0,177.0,-9.22405451937722
633968,307.0,377.0,12.0,-4.89010166484476
647946,377.0,2852.0,116.0,-21.41158974486028
624606,4172.0,263.0,150.0,-6.531053845363637
633930,430.0,2852.0,12.0,-11.965293264093804
633861,555.0,2852.0,12.0,-1.097045355539347
624323,430.0,595.0,51.0,-8.46025986685025
624352,4172.0,642.0,51.0,-7.316474869229007
625571,4176.0,4172.0,177.0,-19.72820294620862
624278,4173.0,4175.0,51.0,2.46529457137292
642350,4173.0,555.0,2.0,-2.94965053759103
624618,307.0,4172.0,150.0,-1.889062780198087
624553,2088.0,4175.0,150.0,5.694310576187086
627583,340.0,555.0,103.0,-8.699172985471487
647949,3297.0,3361.0,116.0,5.14973938802725
