,drug_row,drug_col,cell_line_name,synergy_loewe
35373,2566.0,85.0,5.0,-2.65212328512803
35316,2533.0,85.0,5.0,-3.38740029819233
36021,2965.0,85.0,5.0,-11.3255688141147
35977,2931.0,85.0,5.0,6.73560996102807
34919,2320.0,85.0,5.0,2.83008970185269
35687,2755.0,85.0,5.0,22.2492896822402
34380,1974.0,85.0,5.0,1.43089072538405
35136,2447.0,85.0,5.0,39.9339304127706
35532,2662.0,85.0,5.0,29.6009329805746
34715,2184.0,85.0,5.0,12.0441070855006
35672,1874.0,85.0,5.0,0.40827065866808
34449,2019.0,85.0,5.0,15.0401902434279
35941,721.0,85.0,5.0,12.3509396263955
34440,2015.0,85.0,5.0,23.4411638020162
35324,2538.0,85.0,5.0,18.5015166850566
35843,2860.0,85.0,5.0,19.0412913144098
34653,1339.0,85.0,5.0,7.42637684459517
36067,374.0,85.0,5.0,15.8234697639317
34696,2171.0,85.0,5.0,-12.3746832861338
35380,2570.0,85.0,5.0,32.8645149693985
35437,2605.0,85.0,5.0,-6.08374567888623
35144,487.0,85.0,5.0,19.0028568701559
34786,893.0,85.0,5.0,-1.29435810743183
34685,469.0,85.0,5.0,1.88311571100036
36046,2981.0,85.0,5.0,7.09025915888964
35184,2472.0,85.0,5.0,-0.82906797284943
34470,737.0,85.0,5.0,6.64232585863179
35006,916.0,85.0,5.0,9.24268849049697
34692,1730.0,85.0,5.0,5.21054124204347
34966,2358.0,85.0,5.0,16.1290248753323
35970,344.0,85.0,5.0,9.61339858846367
34858,678.0,85.0,5.0,1.26452343674347
34762,2214.0,85.0,5.0,8.27750592028177
34527,529.0,85.0,5.0,5.64936616071142
35312,2530.0,85.0,5.0,-2.20752294115414
35142,2450.0,85.0,5.0,-6.21375597779733
35362,2559.0,85.0,5.0,9.85465628423837
34580,2095.0,85.0,5.0,18.0869555567468
35484,2634.0,85.0,5.0,-2.51462341977693
34487,1484.0,85.0,5.0,18.7335196352757
35625,2721.0,85.0,5.0,-3.44835246715013
35490,247.0,85.0,5.0,23.8460609262424
35081,2420.0,85.0,5.0,2.96982652060727
35991,951.0,85.0,5.0,5.76508862132207
35130,2445.0,85.0,5.0,18.1390812744201
35769,2805.0,85.0,5.0,3.66469345080297
34929,2330.0,85.0,5.0,-6.47381512234413
34565,2088.0,85.0,5.0,15.9973597592312
34909,2312.0,85.0,5.0,-7.20728415971303
35851,1284.0,85.0,5.0,1.43816062776637
35962,2926.0,85.0,5.0,21.3813438585376
36020,2964.0,85.0,5.0,-1.47255809379193
35246,2497.0,85.0,5.0,12.3662561810789
34317,1936.0,85.0,5.0,9.52852563762357
34496,2041.0,85.0,5.0,8.48885214799547
36073,2996.0,85.0,5.0,13.6370005017102
34677,2159.0,85.0,5.0,10.2554468208803
34698,2173.0,85.0,5.0,14.4694411197638
35806,2833.0,85.0,5.0,7.55439149275067
34691,2168.0,85.0,5.0,7.80916501167787
35162,2460.0,85.0,5.0,3.92910151779627
35836,1860.0,85.0,5.0,26.9010391673803
35649,2737.0,85.0,5.0,-3.91028701314403
35837,2855.0,85.0,5.0,-3.31435906283143
35612,228.0,85.0,5.0,4.03857284009217
34474,1089.0,85.0,5.0,7.00052446028967
35000,2380.0,85.0,5.0,-16.2497727856722
34737,2200.0,85.0,5.0,11.2840276184527
34728,2194.0,85.0,5.0,7.23092697576167
35907,2892.0,85.0,5.0,-5.58083142913593
35217,2486.0,85.0,5.0,11.2256730271353
34980,2367.0,85.0,5.0,5.84107159993517
34481,536.0,85.0,5.0,28.0840744803246
34892,2301.0,85.0,5.0,48.3797889914662
34901,644.0,85.0,5.0,1.79866065961817
35958,818.0,85.0,5.0,0.388890323785869
34861,1499.0,85.0,5.0,0.968408492874971
35807,730.0,85.0,5.0,0.509362507566735
35570,2688.0,85.0,5.0,4.53656411755507
35046,2405.0,85.0,5.0,14.3347094362179
35148,359.0,85.0,5.0,7.05476449655217
34510,467.0,85.0,5.0,-1.88552335232927
35520,2655.0,85.0,5.0,13.613299792955
35915,2899.0,85.0,5.0,5.53437435731977
35522,362.0,85.0,5.0,-2.92582522613373
35432,2602.0,85.0,5.0,-0.522829158351332
35270,2510.0,85.0,5.0,13.867052761955
35909,866.0,85.0,5.0,1.59225439755237
35203,438.0,85.0,5.0,21.4502825662234
35310,2529.0,85.0,5.0,37.4982822955219
35336,791.0,85.0,5.0,0.36211799891754
35560,506.0,85.0,5.0,21.0193311502747
35573,1801.0,85.0,5.0,3.56418304330817
35804,72.0,85.0,5.0,-3.03468269318032
35485,1852.0,85.0,5.0,9.47851006571197
34864,2278.0,85.0,5.0,2.96779719846987
36114,548.0,85.0,5.0,16.8115536039311
34435,2011.0,85.0,5.0,0.365881687956271
35789,2820.0,85.0,5.0,4.50300064555447
35778,668.0,85.0,5.0,14.5171346594574
35985,2936.0,85.0,5.0,3.74828023931239
35563,2681.0,85.0,5.0,5.98906927180757
34831,2255.0,85.0,5.0,1.79171099311177
35068,253.0,85.0,5.0,18.9652545218413
35031,2396.0,85.0,5.0,16.4657778393598
34507,330.0,85.0,5.0,36.8086875997619
35291,759.0,85.0,5.0,13.8435254486882
35629,2724.0,85.0,5.0,-1.98793449218853
34874,2286.0,85.0,5.0,-1.63103400571833
35079,2418.0,85.0,5.0,-3.10015505060013
35388,1784.0,85.0,5.0,-5.27090055979576
35591,2701.0,85.0,5.0,10.1014317813887
34800,666.0,85.0,5.0,17.1335130517063
35054,2408.0,85.0,5.0,19.2076096904646
35372,2565.0,85.0,5.0,-3.02113266663993
35864,2872.0,85.0,5.0,1.65343639563237
34914,2315.0,85.0,5.0,4.17668727713677
35682,1488.0,85.0,5.0,24.7118037546367
35370,752.0,85.0,5.0,12.5444142718876
35072,305.0,85.0,5.0,5.89270279034867
35949,1818.0,85.0,5.0,1.34892707774347
34711,1001.0,85.0,5.0,-0.989267654348531
34889,2299.0,85.0,5.0,12.1737543687312
35900,941.0,85.0,5.0,15.3486438827626
34994,1440.0,85.0,5.0,-12.3225159362147
35060,449.0,85.0,5.0,33.7844517732328
35800,2829.0,85.0,5.0,-1.44906632400973
35519,1827.0,85.0,5.0,0.272891745921871
35934,2907.0,85.0,5.0,29.3751494712794
35272,2511.0,85.0,5.0,10.2040188011187
35779,2812.0,85.0,5.0,25.448588821161
34758,227.0,85.0,5.0,5.87868209660313
35257,871.0,85.0,5.0,-1.74506988750693
34468,2028.0,85.0,5.0,9.07995371275627
34539,2068.0,85.0,5.0,23.1715555665015
34687,2166.0,85.0,5.0,60.545803802339
36055,575.0,85.0,5.0,-0.981025113460746
35805,482.0,85.0,5.0,6.31688449001881
34694,2169.0,85.0,5.0,36.5506548734913
34732,1583.0,85.0,5.0,-9.46995674706682
34961,1920.0,85.0,5.0,0.421020686396769
35348,1431.0,85.0,5.0,-3.82840646116493
35802,2831.0,85.0,5.0,5.02843140404017
35840,2858.0,85.0,5.0,8.74420587758917
34613,1449.0,85.0,5.0,0.636850606745988
34424,2004.0,85.0,5.0,0.518690510811169
35495,2639.0,85.0,5.0,0.067922496999401
35609,2712.0,85.0,5.0,7.54397703041977
34997,2378.0,85.0,5.0,12.7969618372946
35091,2426.0,85.0,5.0,0.322537987352369
35980,1891.0,85.0,5.0,25.9155902561378
35544,2672.0,85.0,5.0,0.437112392244913
35436,1453.0,85.0,5.0,1.45626387417297
34690,2167.0,85.0,5.0,2.61686372517637
36018,1204.0,85.0,5.0,7.78606135592187
35890,987.0,85.0,5.0,8.03648777148597
34754,226.0,85.0,5.0,10.4379189944737
34987,2372.0,85.0,5.0,12.8578966964621
36009,2955.0,85.0,5.0,-1.28102459988213
35351,664.0,85.0,5.0,7.27612378232497
35022,2391.0,85.0,5.0,-6.01425516119923
34886,2297.0,85.0,5.0,1.36747127973657
35685,1806.0,85.0,5.0,12.1768896298898
34739,1675.0,85.0,5.0,8.15006076939717
