,drug_row,drug_col,cell_line_name,synergy_loewe
450344,150.0,4152.0,117.0,-11.8477146068584
467387,643.0,2026.0,122.0,2.82762477835684
411881,524.0,687.0,113.0,-7.3176903289101
469870,247.0,161.0,122.0,-14.1250318295273
362326,4148.0,267.0,108.0,-18.720108940703
355801,277.0,4157.0,107.0,-16.8874856053562
455600,788.0,687.0,120.0,-35.9271221865895
387092,2913.0,217.0,110.0,-16.8918205921864
464314,724.0,267.0,121.0,-16.4508345793942
499135,3379.0,4152.0,125.0,1.18232621547541
509684,3898.0,2026.0,169.0,8.04857190665332
498769,1939.0,85.0,125.0,3.83523899824316
505997,2310.0,4152.0,169.0,-6.2315802953772
472762,249.0,2421.0,123.0,-13.0028407334923
405829,482.0,601.0,112.0,4.92478192646193
510265,3010.0,2026.0,169.0,-46.4051512087954
352959,217.0,143.0,107.0,-15.7203204102218
418074,249.0,741.0,114.0,-14.4936266662381
407453,845.0,545.0,113.0,-7.91924700461891
347925,2349.0,788.0,106.0,-7.3465219267265
499525,374.0,2555.0,125.0,-19.2938176101763
410718,2677.0,3379.0,113.0,8.22114661166667
362075,574.0,2424.0,108.0,-4.1778972646754
428758,643.0,267.0,115.0,-4.52104926937797
518526,466.0,601.0,128.0,-14.814585275342
478605,4149.0,1225.0,124.0,-12.5864138000769
520619,524.0,643.0,128.0,-1.58875189988842
471879,31.0,247.0,122.0,0.174927387335477
467602,821.0,2451.0,122.0,-1.53125003652871
441682,281.0,482.0,116.0,-2.99022418441085
445723,601.0,2875.0,181.0,5.50948938573102
514222,604.0,3214.0,127.0,4.60084880065284
354034,164.0,821.0,107.0,-32.9586948204549
393553,164.0,2424.0,111.0,-11.7842418009056
488463,313.0,143.0,182.0,-9.39357964492303
457999,147.0,442.0,120.0,-18.4847140632343
456549,2349.0,562.0,120.0,-37.392139120845
479262,2349.0,220.0,124.0,-16.4510582383758
487431,1904.0,442.0,182.0,-7.37031756554479
502829,724.0,655.0,126.0,-3.64056410700577
447112,724.0,2424.0,181.0,-20.286198418081
499671,3010.0,716.0,125.0,-5.24089603982888
453820,2875.0,254.0,117.0,-18.8310399711899
410070,2619.0,2426.0,113.0,-0.73362706944421
364708,247.0,484.0,108.0,-11.2194187063145
509873,31.0,1330.0,169.0,2.17964043755051
450522,1909.0,4156.0,117.0,-13.6954636183955
362381,4149.0,220.0,108.0,-3.62722137494105
484494,161.0,716.0,182.0,-3.46011482057893
493205,4157.0,1257.0,183.0,-9.73640177779344
446301,3214.0,161.0,181.0,7.38348198133385
420658,364.0,1225.0,114.0,-15.4106719114499
446091,687.0,3898.0,181.0,-3.46945924343303
461732,4150.0,3898.0,121.0,-2.23266062404783
457479,687.0,4151.0,120.0,1.19310685180343
518011,419.0,1904.0,128.0,-20.9621239243469
