,drug_row,drug_col,cell_line_name,synergy_loewe
644460,453.0,787.0,175.0,-0.0003273428048866
644457,630.0,1589.0,175.0,-0.0003135891706737
644454,406.0,1589.0,175.0,-0.0003273428048866
644455,630.0,406.0,175.0,-0.000370331424326
640885,630.0,406.0,161.0,-15.40139324757587
644462,453.0,1589.0,175.0,-0.0003273428048866
640888,1589.0,787.0,161.0,-1.939015555162558
644453,406.0,787.0,175.0,-0.0003273428048866
644456,630.0,787.0,175.0,-0.0003135891706737
644458,1589.0,787.0,175.0,-0.0003875759912575
640886,630.0,787.0,161.0,-14.04198565615398
640892,453.0,1589.0,161.0,1.0617687966349527
