,drug_row,drug_col,cell_line_name,synergy_loewe
159211,1623.0,480.0,49.0,-9.90250968656556
159360,731.0,46.0,49.0,8.33785826657694
158970,736.0,527.0,49.0,-11.8189102403483
160558,1869.0,31.0,49.0,-0.703702502286111
158988,606.0,1239.0,49.0,-10.6901895727169
160694,127.0,491.0,49.0,-21.5351071517492
160116,501.0,168.0,49.0,-9.63668831726949
160344,697.0,222.0,49.0,12.4749146205737
628890,406.0,1869.0,154.0,4.621465315459587
158982,50.0,527.0,49.0,-17.9658760229535
647241,3932.0,780.0,49.0,5.137752772164225
160633,480.0,753.0,49.0,-6.88316923198904
647496,1316.0,112.0,49.0,-5.992653483260776
160218,453.0,202.0,49.0,-5.22925816731888
646953,296.0,570.0,49.0,2.089916251471191
646654,753.0,1869.0,164.0,7.061523060417986
646859,168.0,37.0,49.0,-15.413188798063924
159577,353.0,753.0,49.0,-4.8500116285207
646842,756.0,491.0,49.0,-0.3091998309006349
159767,15.0,1787.0,49.0,2.35091894893339
160222,67.0,227.0,49.0,-7.53976577882022
647506,453.0,756.0,49.0,0.4316349597621126
159526,453.0,606.0,49.0,-4.68815609432208
158948,59.0,426.0,49.0,0.155457252214082
160781,240.0,296.0,49.0,-1.88744055369341
647597,1348.0,1590.0,49.0,-7.712261097188335
160691,75.0,491.0,49.0,-3.01724781617057
646993,406.0,3569.0,49.0,-1.4121385837785376
160470,501.0,246.0,49.0,-7.93158283364082
160664,465.0,296.0,49.0,3.87210273994268
159510,822.0,606.0,49.0,9.67410771060492
160866,331.0,453.0,49.0,1.53540690664986
647350,3569.0,420.0,49.0,-26.317572620442
159445,1483.0,420.0,49.0,-52.3736806169438
159927,570.0,67.0,49.0,-5.55120458035537
647404,466.0,67.0,49.0,-24.018106522559368
647000,406.0,352.0,49.0,-7.039606199268005
160363,719.0,780.0,49.0,-18.4905684317323
158929,1348.0,787.0,49.0,-2.69090625402511
158921,1239.0,787.0,49.0,-1.58536313316617
646890,465.0,756.0,49.0,0.3370040292893652
160242,353.0,227.0,49.0,-6.89009612787341
160824,168.0,827.0,49.0,1.26709644325552
160424,353.0,1623.0,49.0,-9.09855880039551
646967,296.0,216.0,49.0,5.27293161257204
159453,205.0,576.0,49.0,10.7072124670889
647308,736.0,1869.0,49.0,0.5279497195636634
160599,787.0,112.0,49.0,-9.85545657309304
160092,827.0,1316.0,49.0,-12.3033219800586
159752,787.0,1787.0,49.0,3.69097516230645
159090,729.0,576.0,49.0,-6.48987459910449
646889,465.0,822.0,49.0,1.164251757960644
628916,1883.0,787.0,154.0,8.525137583193063
159534,246.0,15.0,49.0,-4.08182337271066
159303,501.0,426.0,49.0,-56.2294226271618
159497,731.0,159.0,49.0,-7.18013977807575
159837,296.0,300.0,49.0,-14.0266572006046
159675,453.0,1312.0,49.0,-5.17654417425577
159083,756.0,576.0,49.0,-43.8393567408347
159538,199.0,15.0,49.0,-10.5519063818966
160220,697.0,202.0,49.0,-6.89066031362261
159576,199.0,753.0,49.0,-52.6960355974667
159477,205.0,59.0,49.0,-6.91052231188223
159216,1483.0,480.0,49.0,-3.29687921063142
647087,80.0,787.0,49.0,-13.351605436158332
647277,67.0,173.0,49.0,-1.6948590557528715
160206,719.0,202.0,49.0,-20.7597537749443
158916,296.0,70.0,49.0,11.6920416230757
159939,1590.0,205.0,49.0,-47.1585265400154
647120,571.0,67.0,49.0,2.879250203406958
159096,470.0,59.0,49.0,-2.99809932320316
647008,753.0,822.0,49.0,-5.847301726614798
159694,527.0,1316.0,49.0,-6.77779856555452
159911,470.0,345.0,49.0,-14.345501322596
159038,1590.0,80.0,49.0,-3.68729001086668
160331,240.0,222.0,49.0,-7.09848820460577
160805,173.0,527.0,49.0,-10.3283833582232
160583,3569.0,465.0,49.0,-5.84216976337783
159151,1312.0,37.0,49.0,-6.98207612297226
159461,1623.0,576.0,49.0,-17.7713080874213
646884,173.0,420.0,49.0,-20.1224830194934
647343,159.0,46.0,49.0,-8.542889684613032
647364,729.0,465.0,49.0,-2.660852635247432
628881,822.0,1869.0,154.0,-2.4257290952310604
647132,571.0,1348.0,49.0,-0.4995053916227934
158868,1239.0,352.0,49.0,-13.8575028007039
647513,453.0,296.0,49.0,1.1269725551979175
159954,1590.0,247.0,49.0,-16.2593705675174
159307,353.0,426.0,49.0,-7.16605991384793
159503,353.0,159.0,49.0,-10.2039453416967
159706,606.0,1316.0,49.0,-8.70875581656834
647071,345.0,46.0,49.0,-4.336370340814714
158944,80.0,426.0,49.0,-2.10249531020526
642208,1335.0,780.0,162.0,-2.165037239882349
160264,1086.0,345.0,49.0,6.53840470612731
160237,397.0,227.0,49.0,-23.1003749770511
160533,1869.0,46.0,49.0,-1.30755400391398
159171,1275.0,1590.0,49.0,-9.09215944839056
160339,501.0,222.0,49.0,-8.84824821506678
160135,518.0,1787.0,49.0,-20.8798432973644
647552,780.0,465.0,49.0,-3.655583139354055
647523,453.0,787.0,49.0,-8.79915123577771
647521,453.0,1590.0,49.0,0.1225305282558875
159721,70.0,168.0,49.0,-2.20350029388945
159363,397.0,46.0,49.0,-17.3286471623144
160173,466.0,300.0,49.0,1.65831231732939
647324,59.0,1239.0,49.0,-6.175245819090112
647337,159.0,527.0,49.0,-16.406476288101288
159399,822.0,80.0,49.0,-2.5595659837775
158938,527.0,426.0,49.0,-7.13658472887999
646649,406.0,1869.0,164.0,4.014559923630937
158881,1590.0,352.0,49.0,-1.78596237493255
160007,1347.0,822.0,49.0,-26.3027939343642
647582,780.0,112.0,49.0,-3.82498707287809
647386,466.0,420.0,49.0,-6.208943279134605
159306,199.0,426.0,49.0,-65.8204412336486
159116,37.0,606.0,49.0,-13.3944265081477
160190,827.0,300.0,49.0,-2.84611751522557
160357,827.0,466.0,49.0,-0.311215488482818
159684,453.0,50.0,49.0,-4.25136371303769
647209,787.0,453.0,49.0,-15.976366031649444
160586,491.0,1590.0,49.0,-2.17225498677156
159212,719.0,480.0,49.0,-51.6041494139605
159098,570.0,59.0,49.0,-11.2056390451144
159897,296.0,227.0,49.0,-13.0291714698444
160750,240.0,75.0,49.0,-19.7249905054796
647680,15.0,756.0,49.0,0.0059700199138888
159972,1312.0,222.0,49.0,-7.85842402803849
160201,780.0,202.0,49.0,-15.3233007753796
647089,80.0,59.0,49.0,-2.170838914845556
159903,576.0,345.0,49.0,4.30242632277245
647665,491.0,491.0,49.0,-0.5552192616338685
159992,470.0,780.0,49.0,-6.63641039711151
647654,1239.0,1358.0,49.0,-6.099549231548094
159429,501.0,736.0,49.0,-0.0233609303456487
160521,697.0,199.0,49.0,0.191470127083035
159178,50.0,756.0,49.0,-2.33000222201694
159849,3569.0,202.0,49.0,-13.610131166201
159111,50.0,159.0,49.0,-18.0974940119304
647508,453.0,168.0,49.0,-1.4666675063663677
159554,697.0,465.0,49.0,-42.1308405922848
159342,247.0,491.0,49.0,-12.6305095750322
160415,518.0,1623.0,49.0,-10.7205328263519
647226,527.0,787.0,49.0,-2.741637873639713
159570,518.0,753.0,49.0,-4.43295639552787
647675,127.0,1358.0,49.0,-16.411481058761154
647497,1316.0,127.0,49.0,-2.679916286664728
647699,15.0,112.0,49.0,-1.88381076851628
160637,222.0,753.0,49.0,1.31199469915801
159672,199.0,1312.0,49.0,-40.5717582330205
160174,780.0,300.0,49.0,2.7596423296399
159385,1623.0,3569.0,49.0,-29.9002810182144
647235,527.0,1239.0,49.0,-12.82099726199813
160101,67.0,168.0,49.0,-8.08640375989285
160822,466.0,827.0,49.0,-3.45302950883204
647361,729.0,822.0,49.0,-11.058871041229883
160702,127.0,756.0,49.0,-1.34777586540751
646837,756.0,3569.0,49.0,-12.23327853703467
159801,756.0,406.0,49.0,-0.8646185213579
158899,736.0,70.0,49.0,-16.29754574015
647319,59.0,75.0,49.0,-5.080126649340929
647481,1316.0,222.0,49.0,-0.976758338660779
159201,1347.0,296.0,49.0,-7.51473090668841
160638,1316.0,753.0,49.0,-0.0821978800194423
159574,397.0,753.0,49.0,0.723053103458516
647158,570.0,465.0,49.0,0.4350035796965915
647137,571.0,112.0,49.0,2.280140767517889
160604,756.0,1869.0,49.0,1.7428493826525
160281,353.0,67.0,49.0,2.15713329723034
647169,1590.0,46.0,49.0,2.4707489403455254
160209,246.0,202.0,49.0,6.80416112551768
159371,1623.0,1358.0,49.0,-27.6860592462234
647205,787.0,1590.0,49.0,-3.68144681134558
160811,15.0,827.0,49.0,1.02371799002266
159320,1483.0,527.0,49.0,-30.5552806998493
160051,729.0,397.0,49.0,-4.63582004347744
159496,518.0,159.0,49.0,-14.0883906137159
158879,37.0,352.0,49.0,-22.1451631070669
160435,571.0,719.0,49.0,-28.4681761040885
159808,729.0,406.0,49.0,12.6117796632017
159756,491.0,1787.0,49.0,-6.45769479297759
160852,1787.0,173.0,49.0,-12.612919838886
646655,227.0,780.0,164.0,-6.97570662560818
160283,1086.0,67.0,49.0,-31.1784450479366
160561,3569.0,31.0,49.0,-1.50527256077379
160813,173.0,827.0,49.0,-15.9918333155685
647346,159.0,1239.0,49.0,-8.704719084400088
160465,453.0,731.0,49.0,-3.38377040979565
159868,296.0,202.0,49.0,-2.1102402374479
160199,222.0,202.0,49.0,-8.06296269932444
159261,397.0,70.0,49.0,-6.93295231661838
159533,731.0,15.0,49.0,-15.5306011786531
646914,465.0,127.0,49.0,-4.89399288202705
160844,1316.0,240.0,49.0,-2.6615417104347
159678,199.0,296.0,49.0,-12.2097237042676
160124,202.0,1787.0,49.0,-1.24458561567295
160510,697.0,571.0,49.0,7.58381646970886
159271,227.0,787.0,49.0,-8.84103911399612
158953,37.0,426.0,49.0,4.6429774887565
646808,822.0,779.0,49.0,-2.379977649119105
647139,571.0,15.0,49.0,-0.5575715538155879
160285,247.0,205.0,49.0,8.52320679679473
647493,1316.0,352.0,49.0,-11.656534250711
159156,756.0,753.0,49.0,-4.09320237654243
160523,453.0,353.0,49.0,1.47097143176343
159758,1358.0,1787.0,49.0,-3.5982653883034
159962,729.0,247.0,49.0,1.78042802363584
646942,1787.0,1316.0,49.0,-8.297174716181415
159547,246.0,465.0,49.0,-11.9771799578112
159875,491.0,227.0,49.0,-41.0134656098522
646812,822.0,112.0,49.0,-2.3720796362299703
647393,466.0,296.0,49.0,-2.78601253385064
647054,345.0,406.0,49.0,3.036260488218835
160005,1312.0,822.0,49.0,-8.33962813005383
647444,331.0,59.0,49.0,-21.25375245261513
159207,227.0,480.0,49.0,-17.610939776017
159862,1590.0,202.0,49.0,-2.47386916004959
160340,199.0,222.0,49.0,11.6679881326596
160601,37.0,112.0,49.0,-5.5919485380401
647540,453.0,1239.0,49.0,5.93290845850942
160487,1086.0,1483.0,49.0,-7.34082143218153
159226,227.0,352.0,49.0,-47.4181223677093
647041,753.0,112.0,49.0,-3.381556963943885
159392,501.0,3569.0,49.0,2.69848032772263
159590,353.0,1348.0,49.0,-54.1007210311579
159057,1590.0,736.0,49.0,8.79209202898011
647687,15.0,787.0,49.0,-3.3634401037435624
647601,1348.0,453.0,49.0,-2.919196583660836
158889,1347.0,352.0,49.0,-24.6275165528678
158990,1275.0,1239.0,49.0,-23.3560734312676
647620,240.0,527.0,49.0,-13.59804855801449
159322,501.0,527.0,49.0,-24.2280398298699
160268,222.0,67.0,49.0,-9.28135202241562
160426,453.0,1623.0,49.0,5.45250431331871
158892,527.0,70.0,49.0,-12.4173469893082
159403,731.0,80.0,49.0,-12.5104031330821
647141,37.0,822.0,49.0,-4.54756260032228
647279,67.0,480.0,49.0,-21.31596342676928
159244,227.0,70.0,49.0,-50.7153779693386
646836,756.0,1590.0,49.0,5.170627548095846
159077,15.0,576.0,49.0,-23.5954834511094
647515,453.0,753.0,49.0,-2.621152356002654
647548,780.0,756.0,49.0,-2.4090343967597
159626,571.0,470.0,49.0,-0.235350661440808
159233,518.0,352.0,49.0,1.34250827197933
647080,345.0,31.0,49.0,-22.334355852193227
159162,1347.0,753.0,49.0,-11.3435573182541
160215,199.0,202.0,49.0,-10.9517067638203
647163,570.0,1239.0,49.0,-13.429400414786723
159564,353.0,37.0,49.0,-20.1892036633489
160605,491.0,1869.0,49.0,-1.16139161408101
160570,787.0,173.0,49.0,-19.3887001727618
647276,67.0,420.0,49.0,-21.740013107450565
