,drug_row,drug_col,cell_line_name,synergy_loewe
156720,197.0,604.0,47.0,-8.47312156253762
157493,993.0,604.0,47.0,-16.4647312773927
158535,75.0,37.0,47.0,-5.78240501891146
158442,407.0,123.0,47.0,-29.189814499985
158296,1797.0,604.0,47.0,-9.88841415876209
158280,1781.0,604.0,47.0,-22.8985140016069
157836,1336.0,604.0,47.0,-26.029892988315
157170,665.0,604.0,47.0,-29.734645661489
157079,3288.0,604.0,47.0,-22.7736141221704
158480,491.0,1275.0,47.0,-1.83020855604292
158036,1535.0,604.0,47.0,-45.4222765432032
158763,228.0,296.0,47.0,-17.5076632967066
157983,1482.0,604.0,47.0,-33.356657677793
157323,823.0,604.0,47.0,2.4786840464255
157147,615.0,604.0,47.0,2.73760229845248
157767,1267.0,604.0,47.0,-20.809353831423
156867,343.0,604.0,47.0,10.0592823276705
156549,24.0,604.0,47.0,-26.0972235303971
157250,748.0,604.0,47.0,1.93271173857553
157459,959.0,604.0,47.0,-22.5378504021754
158030,1529.0,604.0,47.0,-25.530773370512
158049,1548.0,604.0,47.0,-1.62822994570702
158455,37.0,788.0,47.0,-5.66763266583429
156535,9.0,604.0,47.0,-19.4246777081914
156604,82.0,604.0,47.0,1.82835365754354
156819,295.0,604.0,47.0,1.88978176054174
158163,1664.0,604.0,47.0,-1.40106494190461
156922,401.0,604.0,47.0,-25.3378775227832
156606,84.0,604.0,47.0,-25.7971621877345
158042,1541.0,604.0,47.0,-20.7312904627787
157807,1307.0,604.0,47.0,-5.78507919902164
158411,406.0,316.0,47.0,-37.5775740404303
156614,92.0,604.0,47.0,-0.991190540008438
158624,914.0,475.0,47.0,-38.6836994848328
157101,565.0,604.0,47.0,14.9586223567048
632344,3932.0,604.0,48.0,-5.060999309552
157494,994.0,604.0,47.0,-24.7207230045046
158458,72.0,788.0,47.0,3.71290980885269
158204,1705.0,604.0,47.0,-21.4764839992571
158387,228.0,101.0,47.0,-23.3643320001564
158033,1532.0,604.0,47.0,-53.1722431433408
158825,659.0,604.0,47.0,-10.7800355620767
157334,834.0,604.0,47.0,-19.6627339770195
156569,45.0,604.0,47.0,9.64212883976991
157352,852.0,604.0,47.0,-12.5339149395168
157977,1477.0,604.0,47.0,-9.73794952242827
157878,1378.0,604.0,47.0,-22.7622131259405
157709,1209.0,604.0,47.0,-31.0095192719667
157084,3153.0,604.0,47.0,-7.9904546177855
157759,1259.0,604.0,47.0,-28.6103308375903
157113,579.0,604.0,47.0,-3.32444501550555
157261,759.0,604.0,47.0,4.60152464272543
158695,407.0,227.0,47.0,-21.2361472912183
632357,451.0,604.0,48.0,0.5966813907340616
158437,397.0,123.0,47.0,-20.4750051440762
158626,419.0,475.0,47.0,-12.250259407244
157753,1253.0,604.0,47.0,-27.4213397820132
158228,1729.0,604.0,47.0,-19.8200625262478
