,drug_row,drug_col,cell_line_name,synergy_loewe
641305,11.0,164.0,59.0,-25.219698626126977
631957,4171.0,161.0,8.0,6.43027542744597
638065,4171.0,72.0,76.0,0.4357179765557294
633084,164.0,555.0,156.0,13.903650913620776
650958,1584.0,778.0,14.0,-0.2078740558499097
650775,4170.0,4169.0,14.0,-0.5258451140516804
629666,331.0,161.0,55.0,5.560945280092626
630051,2981.0,778.0,55.0,-79.054905942237
641265,778.0,72.0,59.0,-45.027161801431
630479,1904.0,72.0,155.0,6.6533241601752895
631994,780.0,778.0,8.0,-1.34450919033271
644847,1884.0,3753.0,60.0,-8.95947399020031
629631,164.0,161.0,55.0,-5.139364658294922
644047,4170.0,15.0,163.0,-9.5646611135935
641075,3753.0,164.0,59.0,5.626847184185878
627146,537.0,780.0,152.0,3.33677571227477
642012,2400.0,780.0,110.0,-6.53437487348758
638996,555.0,72.0,159.0,2.2232004303281503
637917,2764.0,2399.0,76.0,4.0367991225588105
622110,4171.0,195.0,106.0,6.689162741293315
646554,2981.0,466.0,13.0,-14.16459593650719
624842,161.0,341.0,151.0,12.8299438760601
640551,4171.0,195.0,160.0,5.25896942929292
622659,537.0,555.0,148.0,15.1097941792422
644820,72.0,2558.0,60.0,-65.9909913118064
642766,161.0,341.0,102.0,11.255510906653608
625171,2400.0,341.0,151.0,-9.229609074249645
632172,141.0,2399.0,8.0,-22.093564996126
627278,1584.0,788.0,152.0,-50.8379080464748
623609,3520.0,537.0,107.0,-31.587083977438503
645342,2981.0,466.0,60.0,-4.437313153823985
635468,150.0,778.0,75.0,-3.067008839865765
637054,2400.0,2268.0,158.0,2.4447417486743226
623952,748.0,85.0,149.0,-4.910625201154023
625319,3520.0,466.0,151.0,0.5324922949504722
629784,1904.0,2268.0,55.0,1.95596976386158
640693,3931.0,778.0,160.0,-0.3624270656835908
638941,85.0,2268.0,185.0,-59.23610906723693
637729,15.0,341.0,74.0,6.04033021844599
624845,161.0,2764.0,151.0,12.7248876508262
623666,788.0,2399.0,149.0,-1.1542489992414011
648450,2400.0,778.0,116.0,-44.8812879771641
628461,466.0,68.0,153.0,-3.475096110228325
650922,11.0,555.0,14.0,-7.413354869769995
650140,11.0,150.0,105.0,0.3085873868183322
649020,3931.0,466.0,165.0,3.7351660257296
645520,164.0,2268.0,61.0,1.91728729280286
637479,4171.0,555.0,74.0,-25.878546194811506
643944,3753.0,2558.0,163.0,-3.39073154003658
641622,788.0,2268.0,110.0,-1.9796178198370191
639162,331.0,555.0,159.0,-0.7547703976257505
631832,3753.0,537.0,8.0,-3.02453917498068
622452,555.0,2399.0,148.0,9.535175658412914
638655,4171.0,2268.0,185.0,-3.17508424023053
645368,3520.0,748.0,60.0,-2.047242874548141
622971,85.0,4169.0,148.0,-14.88811914495981
624027,2349.0,195.0,149.0,0.96178197930021
649929,3753.0,3520.0,105.0,-3.30783648267396
627276,1584.0,2558.0,152.0,-4.383523212425788
635756,1584.0,164.0,75.0,-5.16341129781556
634276,4171.0,3753.0,11.0,-3.50179801436103
649865,1884.0,1904.0,105.0,5.659136317016327
642981,778.0,4169.0,102.0,-12.18877615535985
641149,4170.0,4169.0,59.0,-8.916408802562866
636476,2400.0,537.0,157.0,-17.5422957471715
627307,3931.0,537.0,152.0,-2.45297449400619
623424,3931.0,780.0,107.0,-3.91639441545384
644356,47.0,85.0,163.0,-35.6459719449641
643744,15.0,466.0,113.0,8.247612382154607
627061,164.0,780.0,152.0,1.65186124119069
643105,2400.0,780.0,102.0,-46.5867175554193
643727,1347.0,780.0,113.0,-42.0744179697685
651061,1347.0,1904.0,14.0,-22.4673565698602
648233,537.0,788.0,116.0,-5.775413677463215
633162,4170.0,141.0,156.0,-25.6691018901083
646130,3753.0,3520.0,13.0,-2.233995584328769
638428,1337.0,788.0,185.0,-4.769711145570783
632148,2400.0,780.0,8.0,1.895766550480941
625297,2981.0,161.0,151.0,8.204494762209066
635609,537.0,2558.0,75.0,-7.67574598770511
650832,4171.0,466.0,14.0,0.6411795392652365
636908,780.0,68.0,158.0,2.89508340504067
622576,164.0,341.0,148.0,2.43775746480992
640792,15.0,331.0,160.0,15.4377306281516
637153,85.0,2268.0,158.0,-9.04140125738341
622743,1904.0,195.0,148.0,-1.059512617215007
633109,466.0,4169.0,156.0,-2.19604861210344
641943,1584.0,164.0,110.0,-19.7520332208299
622798,11.0,85.0,148.0,8.965815446027392
621960,161.0,4169.0,106.0,-10.950887408690187
624193,3520.0,780.0,149.0,-18.7074758002202
645740,1584.0,2558.0,61.0,-11.510226577535194
636463,2399.0,195.0,157.0,-7.75971004909346
649201,3520.0,150.0,165.0,6.280602238838718
637567,748.0,2764.0,74.0,4.073927097163303
622767,748.0,164.0,148.0,2.5565427438131976
629848,1584.0,555.0,55.0,-73.71889049095981
637527,780.0,778.0,74.0,-20.247120653386048
645666,195.0,2558.0,61.0,-8.935702855897093
642991,748.0,2764.0,102.0,9.29988016982559
645282,15.0,780.0,60.0,7.022252337476198
630642,141.0,164.0,155.0,-36.8822022827233
640723,2400.0,555.0,160.0,-2.03239090081626
635653,4171.0,15.0,75.0,-10.044078205612488
641969,3931.0,1904.0,110.0,-12.8573122931778
650374,3520.0,537.0,105.0,-4.46388201110423
631291,1347.0,778.0,57.0,-42.1800230741889
646048,788.0,778.0,13.0,-43.3944660524417
632975,1337.0,466.0,156.0,-0.9509976642812036
633365,2349.0,778.0,156.0,-28.8724700460497
622784,11.0,2764.0,148.0,-15.1819723254893
629727,4171.0,2558.0,55.0,1.5167162840332675
638036,4170.0,2349.0,76.0,-0.2898166145008551
641161,4170.0,748.0,59.0,-8.301567450170399
626921,555.0,788.0,152.0,-12.8776324084555
648830,4170.0,4171.0,165.0,-1.9959825429618832
624155,85.0,2399.0,149.0,-0.6209295065014792
635427,341.0,2268.0,75.0,2.1452824964146
630889,150.0,2268.0,57.0,2.050683343085744
623458,2400.0,2558.0,107.0,0.2130794057328904
650073,780.0,150.0,105.0,5.55657811030992
641581,555.0,150.0,110.0,8.15906298545601
632150,2400.0,1904.0,8.0,7.889178549705829
637136,47.0,466.0,158.0,-10.028775008513616
638639,537.0,161.0,185.0,1.75493453620812
645702,748.0,150.0,61.0,7.383552345763623
643236,3520.0,341.0,102.0,7.611752064762699
649893,161.0,72.0,105.0,11.941359270929697
635567,331.0,778.0,75.0,-10.09263703073009
623180,164.0,2399.0,107.0,-6.135426654744688
625248,47.0,2558.0,151.0,-3.15321592089807
622244,3931.0,3753.0,106.0,0.8604472769897787
623783,331.0,555.0,149.0,12.16033761111991
641882,1904.0,68.0,110.0,-13.7164185542116
637488,4171.0,2268.0,74.0,-6.5988946506627855
630718,85.0,150.0,155.0,-11.590504806014517
623576,68.0,2268.0,107.0,3.1328198201188626
622769,748.0,331.0,148.0,4.575478356343602
623344,778.0,2268.0,107.0,-57.0537437826163
648359,11.0,466.0,116.0,-25.4393756288412
640569,780.0,555.0,160.0,-0.2166888040060195
627169,4171.0,195.0,152.0,7.3785750452676195
645137,11.0,537.0,60.0,-15.7046027402543
629772,780.0,778.0,55.0,-19.1471532923502
631744,1337.0,85.0,8.0,-47.2397784346391
645860,1347.0,748.0,61.0,-1.6849589758050874
633048,161.0,2558.0,156.0,5.12776955761445
638320,15.0,164.0,76.0,-14.0241248210686
637477,537.0,2399.0,74.0,0.9437480801834895
642824,466.0,2764.0,102.0,17.4034072772953
635490,161.0,2268.0,75.0,2.20516475692841
648295,780.0,68.0,116.0,-14.8817427344952
646136,164.0,150.0,13.0,7.06032809637297
650920,748.0,85.0,14.0,-67.0140798439791
631277,1347.0,341.0,57.0,-4.170336528999263
636914,1904.0,341.0,158.0,5.181975053331311
629774,780.0,68.0,55.0,10.194903796332616
650853,4171.0,3520.0,14.0,-3.526456061535939
641380,2399.0,195.0,59.0,-0.0780407432645869
641001,788.0,341.0,59.0,-0.4527923741917101
630852,341.0,4169.0,57.0,6.23085121348743
631075,4171.0,141.0,57.0,-33.2723453723035
650881,1904.0,164.0,14.0,5.754680508817502
632256,68.0,195.0,8.0,1.89488550879791
650708,3753.0,778.0,14.0,-11.022012670343807
631128,778.0,68.0,57.0,-36.7814117130065
622552,3753.0,788.0,148.0,2.10145164405119
643014,11.0,161.0,102.0,-27.1034695206272
631836,3753.0,778.0,8.0,-4.94236117626264
644268,2400.0,466.0,163.0,0.2976556312430999
630047,2981.0,537.0,55.0,-14.8289260170994
648284,780.0,341.0,116.0,-21.328804620716
627029,3753.0,150.0,152.0,4.6188597647053005
629931,2400.0,85.0,55.0,-21.259663428315
641683,3753.0,555.0,110.0,7.812499701051022
637946,3753.0,164.0,76.0,3.495558469069
628429,164.0,2558.0,153.0,-16.474423966185764
