,drug_row,drug_col,cell_line_name,synergy_zip
240158,3938.0,467.0,66.0,4.61696114158099
288322,453.0,4091.0,89.0,1.59756938642878
78079,602.0,301.0,20.0,-4.42918158302883
78536,187.0,3311.0,22.0,-5.70041279249516
70420,2048.0,3311.0,12.0,37.337620659685
619450,187.0,737.0,137.0,1.17400105946013
288178,3938.0,3943.0,87.0,-3.07076716580247
76507,2045.0,2890.0,14.0,27.7077373465542
620100,187.0,437.0,142.0,6.90969745997891
620793,282.0,779.0,145.0,-1.16349733023164
78356,187.0,2045.0,21.0,-2.4102537094327
620260,3940.0,3078.0,143.0,2.03060039722788
217984,2045.0,331.0,55.0,24.9901755996513
619414,467.0,779.0,137.0,-6.53793232245232
245752,3945.0,3943.0,69.0,1.54282160338468
75876,187.0,1867.0,13.0,3.83155173611541
240077,157.0,4082.0,65.0,-0.48292312634306
287276,3943.0,3078.0,78.0,-0.441017942219564
239268,4081.0,4085.0,61.0,-0.70617573984674
82580,467.0,787.0,43.0,11.7059346482621
81640,779.0,301.0,36.0,2.486647007435
81747,163.0,282.0,37.0,-4.17913363769497
287733,3325.0,4216.0,82.0,10.8631886093435
239222,330.0,4088.0,61.0,1.8920509993509
287957,453.0,3944.0,85.0,8.97528923018861
48415,3325.0,3940.0,6.0,-2.04523812968194
80574,2045.0,554.0,33.0,8.66556308772026
81094,554.0,3010.0,35.0,0.35881583461539
287185,3943.0,3078.0,77.0,12.7093046499207
81110,554.0,3195.0,35.0,22.8122537309968
75909,1867.0,282.0,13.0,-3.46199072170861
620541,3946.0,554.0,144.0,-1.59101821558352
288779,453.0,3520.0,94.0,0.499107638569221
78499,2048.0,219.0,22.0,0.932961286700668
81607,2045.0,208.0,36.0,3.2816827373388
53652,1971.0,3311.0,7.0,-1.52564676894428
77312,160.0,208.0,16.0,11.1172693523438
620999,3311.0,737.0,146.0,-4.21803448873521
78156,2045.0,3543.0,20.0,-1.37302365202003
77337,330.0,282.0,17.0,5.49315193576732
79654,187.0,3336.0,27.0,-6.19509998760229
620288,1923.0,4166.0,143.0,0.295916945151939
79786,2045.0,540.0,27.0,5.53097416469538
76065,779.0,331.0,13.0,-6.83565449079776
240076,72.0,3078.0,65.0,0.880856133895179
80800,3938.0,330.0,34.0,-17.3979328139396
78812,330.0,3311.0,24.0,-10.7074795450801
79605,163.0,540.0,27.0,-3.52953494280628
78051,602.0,281.0,20.0,38.1876111170777
80018,3940.0,219.0,29.0,6.1976554449783
287324,4089.0,554.0,78.0,-3.21115840715337
81270,160.0,787.0,35.0,-0.625820337277324
620132,219.0,295.0,142.0,47.8750361136617
80460,331.0,2128.0,33.0,15.5235626627418
53766,330.0,356.0,8.0,-7.93699100379189
76760,1971.0,282.0,15.0,-0.434809547846589
620217,3311.0,3938.0,142.0,-14.8199333114895
78840,3941.0,331.0,24.0,7.58522836716127
76321,187.0,219.0,14.0,-0.0917563142031918
76893,330.0,301.0,16.0,-0.622110177754045
620615,3311.0,3325.0,144.0,5.2046015219474
288889,3945.0,3942.0,95.0,2.04559767021875
77705,779.0,219.0,19.0,2.62881718602772
53613,3939.0,219.0,7.0,4.32947452329092
228525,554.0,3942.0,57.0,45.8355489733532
619433,1923.0,282.0,137.0,-3.28832931776402
54059,2045.0,359.0,8.0,3.80223213872184
629416,187.0,282.0,33.0,4.697219479533742
239108,453.0,4089.0,60.0,-1.04789785983739
650572,219.0,3336.0,14.0,-6.665148117027799
266277,3945.0,229.0,73.0,1.47893653829719
77979,187.0,788.0,20.0,5.44040576253442
620017,219.0,3938.0,141.0,-12.3011003658714
77637,330.0,282.0,19.0,-0.10750910371159
75817,1321.0,331.0,13.0,-3.73470503567207
620757,3938.0,779.0,145.0,1.47036106170207
76390,219.0,2890.0,14.0,10.8050473822216
77956,187.0,4210.0,20.0,18.7437072406991
620722,219.0,779.0,145.0,-3.63689485761211
619954,2045.0,282.0,140.0,7.22798879890029
76190,330.0,2764.0,14.0,18.86986573921
79706,219.0,208.0,27.0,-0.745874768056161
81888,219.0,2045.0,38.0,7.16540701387646
288115,282.0,4216.0,86.0,-1.34039052660784
619059,187.0,779.0,135.0,-11.1123429296837
77220,779.0,3336.0,16.0,-5.52539034019037
75860,163.0,788.0,13.0,-0.389193245703419
81053,602.0,281.0,35.0,28.6474555760151
81330,467.0,546.0,36.0,3.53207858501895
287676,3945.0,4087.0,82.0,6.48076063955834
81604,2045.0,562.0,36.0,2.00239036430145
76503,2045.0,556.0,14.0,-3.80780595623379
619270,219.0,4208.0,136.0,5.19904108338743
288544,3938.0,3945.0,91.0,-3.91383896010755
288534,163.0,4087.0,91.0,-0.203333813791068
80737,3941.0,331.0,34.0,-3.1099508943801
81902,2045.0,554.0,38.0,0.858196474613534
59698,2045.0,2622.0,9.0,5.31275368346225
240211,714.0,3945.0,66.0,4.04093682542611
266319,282.0,68.0,73.0,5.82930363740801
239192,554.0,282.0,60.0,-1.55384460643009
