,drug_row,drug_col,cell_line_name,synergy_zip
240542,2930.0,992.0,68.0,0.0424411899589708
240472,949.0,1944.0,68.0,-13.5756504598525
240522,1944.0,3912.0,68.0,-1.97011616186155
240507,2815.0,4086.0,68.0,5.07936095369765
631397,699.0,2199.0,68.0,2.7710598722570983
240516,2930.0,4086.0,68.0,-6.84819586582835
240532,1904.0,1904.0,68.0,-4.16902754897864
240484,42.0,699.0,68.0,-5.06633122698539
240512,1904.0,4086.0,68.0,6.22292832973464
240543,2815.0,992.0,68.0,-1.59101448070425
631406,1378.0,949.0,68.0,-4.781406813378873
240474,949.0,4086.0,68.0,-7.80777132178122
631422,3587.0,2930.0,68.0,-0.8633964833154262
240531,992.0,992.0,68.0,2.21378928376464
240488,1784.0,992.0,68.0,-9.4755667245691
631402,1378.0,4185.0,68.0,-6.2032144499846105
240495,1784.0,1688.0,68.0,-6.20781081615912
240518,2930.0,3912.0,68.0,-3.75008960184029
240480,42.0,2815.0,68.0,-1.47618776345062
240538,3912.0,3912.0,68.0,-4.45503024975829
240470,949.0,1688.0,68.0,-6.89341526839357
240486,42.0,1688.0,68.0,-6.56950729700027
240511,1904.0,699.0,68.0,-9.43825562984785
240475,949.0,2815.0,68.0,-6.30156521224842
631398,699.0,2930.0,68.0,-1.5508193212878871
240473,949.0,699.0,68.0,1.42805301698459
240509,2815.0,3912.0,68.0,-3.12932954398773
631411,4185.0,2930.0,68.0,-4.4791221109373485
631400,1378.0,699.0,68.0,-1.967647005375157
240527,1688.0,3912.0,68.0,-5.12901403502926
240521,1944.0,1688.0,68.0,-7.63263460582621
631421,3587.0,2815.0,68.0,-2.080377861159335
240482,42.0,2930.0,68.0,-19.6779246928002
240497,992.0,2815.0,68.0,-2.53976698477967
240515,2930.0,699.0,68.0,-4.04125131090967
240496,1784.0,3912.0,68.0,-3.03710159525197
240523,699.0,4086.0,68.0,-2.04295204441228
240493,1784.0,699.0,68.0,-8.86061709695238
240517,2930.0,1688.0,68.0,-5.32094811240681
631417,2815.0,2930.0,68.0,-5.564016867523423
631407,4185.0,699.0,68.0,-7.02376386665713
240536,4086.0,4086.0,68.0,-8.61005418900263
240478,42.0,1784.0,68.0,-15.5445935559942
240505,2815.0,1904.0,68.0,-4.05085747706886
631416,2815.0,2815.0,68.0,4.324978373852041
240539,2930.0,2815.0,68.0,-4.81243406713542
240544,1944.0,42.0,68.0,-7.29576809038017
631418,2815.0,1051.0,68.0,-1.9396594157465663
240510,1904.0,2930.0,68.0,2.5699843951231
240500,992.0,1944.0,68.0,-3.62482219039887
240468,949.0,1784.0,68.0,-4.77900562901871
240529,42.0,42.0,68.0,-20.5198093193081
240490,1784.0,1904.0,68.0,-12.2056408170673
240469,949.0,992.0,68.0,-0.405894114216627
240492,1784.0,1944.0,68.0,-14.879331162723
631412,4185.0,3587.0,68.0,-4.551236940359619
631408,4185.0,1378.0,68.0,-2.610130267846293
240489,1784.0,2815.0,68.0,-0.53150871501446
240541,2199.0,42.0,68.0,-8.99356799582221
631405,1378.0,3587.0,68.0,1.3573576764434303
240481,42.0,1904.0,68.0,-10.1027045547653
240528,949.0,949.0,68.0,-7.30614669868771
