,drug_row,drug_col,cell_line_name,synergy_zip
34911,2314.0,85.0,5.0,-10.230001173227
35693,2760.0,85.0,5.0,24.2968655343717
34373,182.0,85.0,5.0,-11.6331134985109
35397,1537.0,85.0,5.0,6.31886787442673
35733,2785.0,85.0,5.0,2.33495781174288
34701,2176.0,85.0,5.0,11.289301674738
35519,1827.0,85.0,5.0,-7.97948678958971
34444,2016.0,85.0,5.0,11.0850789169441
35483,2633.0,85.0,5.0,31.9453035727965
34434,904.0,85.0,5.0,-13.6939850147928
35825,93.0,85.0,5.0,37.7791037809177
35108,2436.0,85.0,5.0,-6.34262648893976
34643,2139.0,85.0,5.0,2.86900290664919
35122,1074.0,85.0,5.0,9.30030706964205
34681,2163.0,85.0,5.0,29.7635595336432
35678,1037.0,85.0,5.0,11.9660367520408
35431,147.0,85.0,5.0,39.279039083872
35157,2456.0,85.0,5.0,5.99181764645217
34784,2226.0,85.0,5.0,15.8551107994193
34667,2152.0,85.0,5.0,-12.6941290452028
36048,2982.0,85.0,5.0,-2.16270844664734
35176,2467.0,85.0,5.0,60.296304350009
34464,2027.0,85.0,5.0,-3.96131618599747
35422,2597.0,85.0,5.0,18.9961654888446
34675,2157.0,85.0,5.0,1.01064643506024
35392,2578.0,85.0,5.0,17.7584873424453
36122,312.0,85.0,5.0,16.5024648872546
34843,2265.0,85.0,5.0,-14.8067756198876
34759,229.0,85.0,5.0,6.04714083837577
34517,2055.0,85.0,5.0,-14.5432176797139
35438,2606.0,85.0,5.0,7.43085579421017
34806,149.0,85.0,5.0,12.1954339714913
36115,3020.0,85.0,5.0,13.3669114293264
34562,2086.0,85.0,5.0,-15.9012940520463
34909,2312.0,85.0,5.0,-5.06273738372252
34480,2034.0,85.0,5.0,-0.224353900391357
35927,5.0,85.0,5.0,-13.8861193443493
35660,2744.0,85.0,5.0,23.4206245212913
35086,2424.0,85.0,5.0,22.5157865275653
35584,2697.0,85.0,5.0,-2.17325913472706
35131,17.0,85.0,5.0,-27.5513325883194
34970,1463.0,85.0,5.0,-1.05741648760055
34923,2324.0,85.0,5.0,-3.8692682135583
34550,2079.0,85.0,5.0,-6.67137588547107
36082,3000.0,85.0,5.0,9.41813874260043
35786,2819.0,85.0,5.0,70.7562920915532
35151,2453.0,85.0,5.0,29.5797588113102
35506,2646.0,85.0,5.0,-2.12850954094352
34875,2287.0,85.0,5.0,-12.3532825324175
34318,1937.0,85.0,5.0,31.1417083688472
34489,714.0,85.0,5.0,0.36878479468367
35166,2463.0,85.0,5.0,28.9906443798978
34662,520.0,85.0,5.0,0.808294986792106
34683,308.0,85.0,5.0,12.9121163462733
35044,2404.0,85.0,5.0,-33.5031510222273
34674,2156.0,85.0,5.0,11.8972850605193
34914,2315.0,85.0,5.0,22.1154037173891
35686,258.0,85.0,5.0,23.3032881399064
35566,2684.0,85.0,5.0,2.44308714045826
34978,2366.0,85.0,5.0,12.3728174680764
35228,3.0,85.0,5.0,7.12120084558906
34468,2028.0,85.0,5.0,10.7738674128086
35005,860.0,85.0,5.0,7.99662392004234
34725,2191.0,85.0,5.0,18.7518903929892
34716,2185.0,85.0,5.0,4.28293617031003
35929,1459.0,85.0,5.0,16.841276476097
34848,857.0,85.0,5.0,-10.5826403906304
34986,2371.0,85.0,5.0,3.33412737922469
34475,2030.0,85.0,5.0,7.91827777662238
35253,837.0,85.0,5.0,-9.43642416131011
35020,2390.0,85.0,5.0,20.2210408014522
36072,350.0,85.0,5.0,25.2839310684921
34850,2271.0,85.0,5.0,16.3496714630939
35922,289.0,85.0,5.0,-25.043480090472
35091,2426.0,85.0,5.0,15.1785740577727
35056,153.0,85.0,5.0,0.0148820490604997
35103,2433.0,85.0,5.0,28.4551617816165
34503,2047.0,85.0,5.0,21.175037824308
35768,2804.0,85.0,5.0,-2.12373130641457
35877,2881.0,85.0,5.0,-17.2328878514589
35328,2542.0,85.0,5.0,-0.136018429492797
35447,2614.0,85.0,5.0,-24.1643186275133
35224,648.0,85.0,5.0,15.9292347635148
