,drug_row,drug_col,cell_line_name,synergy_zip
644460,453.0,787.0,175.0,-1.9603231098385896
644458,1589.0,787.0,175.0,-1.9603231132151
644453,406.0,787.0,175.0,-1.9603231098385896
644456,630.0,787.0,175.0,-1.96032308764947
640885,630.0,406.0,161.0,-0.8427199123308375
644462,453.0,1589.0,175.0,-1.9603231098385896
640887,630.0,1589.0,161.0,5.883318692584222
640892,453.0,1589.0,161.0,4.817603987733033
644457,630.0,1589.0,175.0,-1.96032308764947
644459,453.0,406.0,175.0,-1.96032799340064
640886,630.0,787.0,161.0,3.7648381458316726
640890,453.0,787.0,161.0,-1.9603231098385896
