,drug_row,drug_col,cell_line_name,synergy_zip
159223,697.0,480.0,49.0,25.4942634947077
159386,719.0,3569.0,49.0,-4.74302644329987
158972,576.0,527.0,49.0,-14.3627321936308
160559,756.0,31.0,49.0,3.9068373674684
158994,46.0,491.0,49.0,-2.34692409600881
160700,112.0,756.0,49.0,8.26441875629023
160114,1483.0,168.0,49.0,23.6294943443543
160344,697.0,222.0,49.0,28.4358632380108
628890,406.0,1869.0,154.0,8.893132116583905
158986,736.0,1239.0,49.0,-12.7919014727831
647279,67.0,480.0,49.0,-1.1466186538481236
160638,1316.0,753.0,49.0,12.3904822700757
647506,453.0,756.0,49.0,10.3405079602388
160220,697.0,202.0,49.0,25.1244587497999
646952,296.0,37.0,49.0,7.64761522766489
646655,227.0,780.0,164.0,1.7063467331444735
646866,168.0,59.0,49.0,6.915995913056035
159583,518.0,1348.0,49.0,0.796780722246912
646849,168.0,822.0,49.0,3.6076775660504894
159778,50.0,1787.0,49.0,10.6135686733489
160225,222.0,227.0,49.0,20.4649957057129
647516,453.0,345.0,49.0,20.4090251067607
159539,353.0,15.0,49.0,7.01924977205941
158952,465.0,426.0,49.0,-9.52292266399798
160780,15.0,296.0,49.0,5.76515516287616
647606,1348.0,31.0,49.0,49.719474542590994
160697,31.0,756.0,49.0,1.7692382499153
646995,406.0,75.0,49.0,7.32855372626513
160469,397.0,246.0,49.0,25.0548471817153
160676,1787.0,1358.0,49.0,3.10009843230425
159530,1623.0,15.0,49.0,21.9408454606425
160864,168.0,1787.0,49.0,14.2181754987366
647366,729.0,753.0,49.0,3.05017328691946
159469,571.0,576.0,49.0,30.1426185409819
159933,606.0,205.0,49.0,26.4976502638133
647415,466.0,1348.0,49.0,6.767730208362417
647001,406.0,1239.0,49.0,3.826769581008421
160362,1623.0,780.0,49.0,3.21618112898731
158934,570.0,787.0,49.0,-7.06006221201324
158925,736.0,787.0,49.0,-8.02678880087922
646894,465.0,480.0,49.0,-0.60239523505207
160247,205.0,345.0,49.0,5.14805439675262
160826,571.0,827.0,49.0,6.19155861471387
