,drug_row,drug_col,cell_line_name,synergy_zip
618324,3023.0,827.0,130.0,1.86743802669785
618240,751.0,216.0,129.0,14.1056519983753
618331,283.0,216.0,130.0,7.7719646979895
618342,2490.0,2490.0,130.0,3.54688436114225
618308,331.0,331.0,130.0,12.9050127066976
618260,3023.0,751.0,129.0,15.3586073126616
618182,296.0,556.0,129.0,11.2339299738367
618287,295.0,4077.0,130.0,15.204578531939
618219,827.0,331.0,129.0,13.2035745830563
618237,216.0,216.0,129.0,12.7226143084743
618293,329.0,4077.0,130.0,9.90884748814135
618214,751.0,556.0,129.0,3.62037185213068
618215,283.0,556.0,129.0,16.8466148317208
618212,252.0,556.0,129.0,20.7642145066345
618328,252.0,216.0,130.0,10.2776684145932
618267,3023.0,3023.0,129.0,0.147046491046206
618242,3023.0,216.0,129.0,20.9411415161969
618203,329.0,4077.0,129.0,15.4811750944909
618307,4240.0,556.0,130.0,14.1253541031433
618234,3023.0,827.0,129.0,5.37318567885278
618210,827.0,556.0,129.0,9.32798438175831
618268,4240.0,3023.0,129.0,16.1442343885248
618283,331.0,556.0,130.0,-1.96032798550904
618358,4240.0,3023.0,130.0,16.1623145297251
618245,252.0,252.0,129.0,3.16929130315534
618221,252.0,331.0,129.0,17.4208048999612
618325,4240.0,827.0,130.0,5.44496523448789
618278,352.0,556.0,130.0,8.95802441290754
618354,3023.0,283.0,130.0,4.78526190295329
618226,4240.0,331.0,129.0,9.30776654437881
618284,1483.0,556.0,130.0,2.05506009452122
618360,4240.0,4240.0,130.0,-1.94554564369442
618262,345.0,751.0,129.0,16.2575720950394
618357,3023.0,3023.0,130.0,-6.00654119237114
618352,345.0,751.0,130.0,7.93822922203017
618253,751.0,2490.0,129.0,22.1229169870308
618189,345.0,556.0,129.0,-1.9603279649645
618291,352.0,4077.0,130.0,20.6762935234732
618322,751.0,827.0,130.0,16.5333404219004
618247,751.0,252.0,129.0,10.3075486717959
618228,827.0,827.0,129.0,11.6802377329117
618279,345.0,556.0,130.0,-1.9603279649645
618227,345.0,331.0,129.0,11.3259551111047
618347,345.0,2490.0,130.0,16.6905869830724
618191,325.0,556.0,129.0,6.26939361638661
618241,283.0,216.0,129.0,16.7189870816714
618270,4240.0,4240.0,129.0,3.00693084329914
618297,1483.0,4077.0,130.0,12.5948923466903
618286,300.0,4077.0,130.0,9.96626404175637
618336,2490.0,252.0,130.0,3.25543696039488
618345,3023.0,2490.0,130.0,4.15729726379465
618192,334.0,556.0,129.0,15.9355233119448
618200,341.0,4077.0,129.0,14.8095353813895
618321,2490.0,827.0,130.0,7.80497083445103
618327,216.0,216.0,130.0,5.98605248291482
618185,359.0,556.0,129.0,13.4400855325701
618205,334.0,4077.0,129.0,6.80467640290156
618232,751.0,827.0,129.0,14.460967641418
618272,296.0,556.0,130.0,6.2422953748719
618333,4240.0,216.0,130.0,3.21817392428539
618190,329.0,556.0,129.0,19.7154966763277
618314,283.0,331.0,130.0,0.122097119039601
618184,295.0,556.0,129.0,16.2716577926863
618335,252.0,252.0,130.0,-1.45014542539561
618254,283.0,2490.0,129.0,18.6536220734944
618249,3023.0,252.0,129.0,14.1569745005587
618317,345.0,331.0,130.0,11.0262779850067
618244,345.0,216.0,129.0,11.3050815224552
618318,827.0,827.0,130.0,2.7844457446866
618261,4240.0,751.0,129.0,3.14392442615435
618359,345.0,3023.0,130.0,25.0487255083385
618282,334.0,556.0,130.0,15.0030743647547
618353,283.0,283.0,130.0,0.0583944170819874
618300,827.0,556.0,130.0,14.6239395483127
618239,2490.0,216.0,129.0,11.9518614150222
618258,751.0,751.0,129.0,1.34334309778918
618299,556.0,556.0,130.0,-15.5617085857034
618246,2490.0,252.0,129.0,0.0115138998642438
618296,331.0,4077.0,130.0,13.1832262195243
618339,3023.0,252.0,130.0,5.18322660395685
618209,556.0,556.0,129.0,-17.1564945770047
618257,345.0,2490.0,129.0,7.46132147353315
618275,359.0,556.0,130.0,6.46489964568891
618225,3023.0,331.0,129.0,9.86309626958595
618355,4240.0,283.0,130.0,5.47764229295128
618259,283.0,751.0,129.0,13.8538806183315
618263,283.0,283.0,129.0,-2.05762126485048
618344,283.0,2490.0,130.0,9.38056618889204
618231,2490.0,827.0,129.0,10.5395209915044
618220,216.0,331.0,129.0,21.4701672031147
618320,252.0,827.0,130.0,20.7724389246223
618351,4240.0,751.0,130.0,-2.36104971366663
618183,300.0,556.0,129.0,13.8839646109156
618252,2490.0,2490.0,129.0,11.7176275779298
618346,4240.0,2490.0,130.0,29.5889528330522
618316,4240.0,331.0,130.0,16.2849297760495
618312,2490.0,331.0,130.0,5.77384127350929
618329,2490.0,216.0,130.0,10.5798079458071
618295,334.0,4077.0,130.0,3.96995097533372
618274,295.0,556.0,130.0,16.193832681366
618334,345.0,216.0,130.0,11.1699041268494
618361,345.0,4240.0,130.0,-1.9603279728891
618208,2373.0,420.0,129.0,12.0747419760625
618271,345.0,4240.0,129.0,-1.9603279728891
618319,216.0,827.0,130.0,16.2262062117295
618202,345.0,4077.0,129.0,6.13712588904784
618301,216.0,556.0,130.0,2.21564866812424
618315,3023.0,331.0,130.0,7.72648311387979
