drug_name,CID,ex_drug_id
lonidamine,39562,0
Ethyl bromopyruvate,66144,1
Tranilast (trans-),5282230,2
Lenalidomide,216326,3
Pomalidomide,134780,4
thalidomide,5426,5
CHEMBL3348980,73265376,6
Tanshinone I,114917,7
Tanshinone IIA,164676,8
NCGC00263092-01,11711344,9
Gentian violet cation,3468,10
cyclophosphamide,2907,11
Bendamustine,65628,12
busulfan,2478,13
dacarbazine,135398738,14
mitomycin C,5746,15
NCGC00025235-01,73265386,16
ifosfamide,3690,17
carmustine,2578,18
mechlorethamine,4033,19
chlorambucil,2708,20
Fotemustine,104799,21
KBio2_007145,2567,22
NCGC00167798-01,4609,23
cis-Diaminedichloroplatinum,2767,24
Nedaplatin,6917890,25
AMD 473,177358,26
lomustine,3950,27
procarbazine,4915,28
melphalan,460612,29
Estramustine phosphate sodium,444000,30
vincristine,5978,31
57-22-7,5978,32
NCGC00346580-01,73265390,33
Vinorelbine tartrate,11607738,34
vindesine sulfate,43116,35
117048-62-1,72686,36
CHEMBL3348931,73265377,37
CHEMBL2140972,57519512,38
ABT-751,3035714,39
Indibulin,2929,40
XRP44X,10339779,41
colchicine,6167,42
Demecolcine,220401,43
beta-Narcotine,31411,44
NCGC00014650-03,443593,45
NCGC00181306-03,73265406,46
paclitaxel,36314,47
CABAZITAXEL,9854073,48
NCGC00346661-01,72726,49
CHEMBL3348985,73265380,50
NCGC00181131-02,73265397,51
LEXIBULIN,11351021,52
nocodazole,4122,53
Parbendazole,26596,54
NCGC00346660-01,73265392,55
NCGC00161927-01,122797,56
podophyllotoxin,10607,57
terameprocol,476861,58
Ispinesib,6851740,59
SB-743921,9936388,60
885060-08-2,46189838,61
monastrol,2987927,62
h-d-cys(trt)-oh,7271796,63
(-)-Blebbistatin,5287792,64
Omecamtiv mecarbil,11689883,65
Ciliobrevin D,136257953,66
GSK-923295,46898058,67
topotecan,60700,68
irinotecan,60838,69
camptothecin,24360,70
10-Hydroxycamptothecin,97226,71
7-Ethyl-10-hydroxycamptothecin,104842,72
NCGC00346471-01,73265393,73
beta-Lapachone,3885,74
NCGC00018159-01,15558393,75
ZINC84688828,ZINC,76
Epirubicin,41867,77
SCHEMBL16606206,15573192,78
pirarubicin,11296583,79
CHEMBL3348857,50989217,80
NCGC00346563-01,73265391,81
mitoxantrone,4212,82
Dexrazoxane,71384,83
Icrf 193,115150,84
temozolomide,5394,85
genistein,5280961,86
Amonafide,50515,87
Banoxantrone,9955116,88
10-epi-Aclacinomycin A,154943,89
Gatifloxacin,5379,90
Moxifloxacin hydrochloride monohydrate,9890250,91
norfloxacin,4539,92
sparfloxacin,60464,93
LEVOFLOXACIN,149096,94
ciprofloxacin,2764,95
NCGC00183844-01,44341259,96
Lomibuvir,24798764,97
SCHEMBL2105915,11963194,98
CHEMBL3348974,73265383,99
Nesbuvir,11561383,100
actinomycin D,457193,101
NCGC00167431-02,136153010,102
13292-46-1,135398735,103
NCGC00271415-02,73265405,104
"3-(3,4-Dihydroxyphenyl)lactate",21677748,105
Resistomycin,135430323,106
CX-5461,25257557,107
Cl-F-araA,119182,108
UNII-LNS2U38C9S,135743573,109
Cidofovir,60613,110
Troxatyl,454194,111
cytidine,6175,112
Telbivudine,159269,113
ADEFOVIR DIPIVOXIL,60871,114
acyclovir,135398513,115
Oxibendazole,4622,116
valacyclovir,135398742,117
ganciclovir,135398740,118
CHEMBL3348919,73265379,119
hydroxyurea,3657,120
59643-91-3,68791,121
NCGC00017254-02,73265389,122
NCGC00162423-03,57519508,123
4-Methylpyrazole,3406,124
NCGC00163532-01,5316290,125
315703-52-7,1069686,126
disulfiram,3117,127
Omigapil,6419718,128
309928-48-1,2888648,129
itraconazole,55283,130
methoxsalen,4114,131
morin,5281670,132
myricetin,5281672,133
naringenin,439246,134
CHEMBL1364159,16759993,135
thiotepa,5453,136
Avasimibe,166558,137
apigenin,5280443,138
baicalein,5281605,139
ZINC208949883,ZINC,140
metformin,4091,141
ZINC11616871,ZINC,142
844499-71-4,54708532,143
CHEMBL3183888,2844975,144
10074-G5,2836600,145
Imatinib,5291,146
Nilotinib,644241,147
887650-05-7,24853523,148
REBASTINIB,25066467,149
Dasatinib,3062316,150
Bosutinib,5328940,151
CHEMBL3184303,67089852,152
GNF-2,5311510,153
SCHEMBL3954849,25226483,154
PD173955,447077,155
185039-99-0,5327916,156
Saracatinib,10302451,157
PD0166285,5311382,158
KX2-391,23635314,159
Vandetanib,3081361,160
Erlotinib,176870,161
183321-86-0,10317566,162
Gefitinib,123631,163
Lapatinib,208908,164
VARLITINIB,42642648,165
CTK9A1709,ChemTik,166
Canertinib,156414,167
451492-95-8,9806229,168
PF-299804,70693519,169
AG-1478,2051,170
TAK-285,11620908,171
SCHEMBL185621,57519523,172
497839-62-0,10297043,173
CUDC-101,24756910,174
WZ4002,44607530,175
BMS-599626,10437018,176
153436-54-5,4705,177
WHI-P97,3796,178
ZINC117147304,ZINC,179
1214265-56-1,44607360,180
WZ8040,44607531,181
65678-07-1,2044,182
quinazolin-4-ylamine,84759,183
SCHEMBL3958507,25226117,184
CHEMBL2138817,53401057,185
AST-1306,24739943,186
Sapitinib,11488320,187
CHEMBL3186716,204100,188
Arry-380,42598643,189
Linifanib,11485656,190
Ki8751,11317348,191
KRN-633,9549295,192
Apatinib,11315474,193
Kinome_3641,3086685,194
Sorafenib,216239,195
Vatalanib dihydrochloride,22386467,196
Motesanib,11667893,197
Tivozanib,9911830,198
Nintedanib,135423438,199
