Model,Study,Target,MSE_Mean,MSE_Std,MSE_CI_Low,MSE_CI_High,RMSE_Mean,RMSE_Std,RMSE_CI_Low,RMSE_CI_High,MAE_Mean,MAE_Std,MAE_CI_Low,MAE_CI_High,R2_Mean,R2_Std,R2_CI_Low,R2_CI_High,PCC_Mean,PCC_Std,PCC_CI_Low,PCC_CI_High
MLP,ALMANAC,synergy_bliss,16.3117,0.2779,15.9667,16.6567,4.0386,0.0346,3.9957,4.0816,2.9526,0.0269,2.9192,2.986,0.5529,0.0088,0.542,0.5637,0.7467,0.0057,0.7396,0.7538
MLP,ALMANAC,synergy_hsa,13.8407,0.0721,13.7511,13.9302,3.7203,0.0097,3.7083,3.7323,2.7094,0.0062,2.7017,2.7171,0.5922,0.0041,0.5871,0.5974,0.7724,0.0015,0.7705,0.7743
MLP,ALMANAC,synergy_loewe,89.1786,0.777,88.214,90.1433,9.4434,0.0411,9.3924,9.4943,6.1074,0.0658,6.0257,6.1891,0.5783,0.0093,0.5668,0.5899,0.7684,0.0041,0.7633,0.7734
MLP,ALMANAC,synergy_zip,13.0346,0.1054,12.9037,13.1654,3.6103,0.0146,3.5922,3.6284,2.6241,0.0139,2.6069,2.6413,0.5322,0.0028,0.5287,0.5356,0.7353,0.002,0.7328,0.7379
MLP,ASTRAZENECA,synergy_bliss,201700.9615,175272.3474,-15893.5129,419295.4359,396.1473,211.5851,133.4718,658.8228,22.284,6.8033,13.8379,30.7301,-317.8606,620.2896,-1087.9284,452.2072,0.1478,0.1583,-0.0487,0.3443
MLP,ASTRAZENECA,synergy_hsa,75.1129,6.2785,67.3183,82.9074,8.659,0.3657,8.205,9.1131,5.1009,0.1375,4.9302,5.2716,0.1582,0.1387,-0.014,0.3303,0.5026,0.0703,0.4153,0.5898
MLP,ASTRAZENECA,synergy_loewe,937.0305,709.8198,55.814,1818.2469,28.0159,12.3345,12.7031,43.3287,8.8708,0.2141,8.605,9.1365,-0.3466,0.9046,-1.4695,0.7764,0.4143,0.2247,0.1353,0.6932
MLP,ASTRAZENECA,synergy_zip,63857.7406,63877.7018,-15444.1867,143159.6679,213.3454,135.4308,45.2128,381.4779,14.6047,3.4954,10.2652,18.9441,-197.8502,387.4132,-678.8101,283.1098,0.1283,0.2157,-0.1395,0.396
MLP,DYALL,synergy_bliss,33.5372,9.6327,21.5785,45.4958,5.7314,0.8295,4.7017,6.7612,4.4401,0.5165,3.7989,5.0813,-0.0972,0.2737,-0.4369,0.2426,0.3576,0.1575,0.1621,0.5531
MLP,DYALL,synergy_hsa,18.2402,5.8947,10.9222,25.5582,4.2069,0.7364,3.2926,5.1211,3.0288,0.4461,2.475,3.5826,-0.2812,0.8329,-1.3152,0.7529,0.3111,0.2057,0.0558,0.5664
MLP,DYALL,synergy_loewe,241.1008,75.0833,147.8875,334.3141,15.3312,2.4607,12.2764,18.3861,11.3803,2.0959,8.7783,13.9822,-0.5465,0.9421,-1.7161,0.6231,0.5204,0.0849,0.415,0.6258
MLP,DYALL,synergy_zip,20.8473,3.1655,16.9174,24.7773,4.5524,0.3508,4.1169,4.9878,3.741,0.2129,3.4767,4.0053,0.0833,0.1587,-0.1138,0.2803,0.4616,0.1262,0.3049,0.6184
MLP,FALLAHI-SICHANI,synergy_bliss,96.4543,74.3345,4.1706,188.738,8.9178,4.1143,3.8101,14.0255,7.2036,3.6831,2.6311,11.776,-0.5041,1.2396,-2.043,1.0348,0.3342,0.6475,-0.4697,1.1381
MLP,FALLAHI-SICHANI,synergy_hsa,80.8758,48.9962,20.0488,141.7028,8.5662,2.7378,5.1674,11.9651,7.0938,2.2903,4.2504,9.9371,0.2204,0.3407,-0.2026,0.6434,0.6908,0.4349,0.1509,1.2308
MLP,FALLAHI-SICHANI,synergy_loewe,97.4536,28.9974,61.4543,133.4528,9.7551,1.5137,7.8759,11.6343,7.8713,1.4255,6.1016,9.6409,0.3833,0.2627,0.0572,0.7094,0.8251,0.084,0.7208,0.9294
MLP,FALLAHI-SICHANI,synergy_zip,82.7751,65.882,0.9849,164.5653,8.3533,3.6053,3.8774,12.8291,6.764,3.3443,2.6121,10.9159,-0.744,0.9329,-1.9022,0.4143,0.2484,0.564,-0.4518,0.9487
MLP,FLOBAK,synergy_bliss,9.6569,1.1025,8.2882,11.0256,3.1024,0.1795,2.8795,3.3252,2.2615,0.0762,2.1669,2.3561,0.7858,0.0221,0.7584,0.8133,0.8876,0.0133,0.871,0.9041
MLP,FLOBAK,synergy_hsa,10.6664,1.2208,9.1508,12.182,3.2609,0.181,3.0362,3.4856,2.3648,0.0775,2.2686,2.461,0.6713,0.0138,0.6541,0.6885,0.8221,0.008,0.8122,0.8321
MLP,FLOBAK,synergy_loewe,18.4993,0.7997,17.5064,19.4921,4.3001,0.0926,4.1851,4.415,3.2116,0.1078,3.0777,3.3454,0.6562,0.028,0.6214,0.691,0.8139,0.018,0.7915,0.8363
MLP,FLOBAK,synergy_zip,7.0453,1.2436,5.5015,8.5892,2.6435,0.2395,2.3462,2.9408,1.8192,0.0716,1.7302,1.9081,0.7451,0.0392,0.6964,0.7938,0.8637,0.0223,0.8361,0.8913
MLP,FORCINA,synergy_bliss,290.6273,35.865,246.1021,335.1525,17.0154,1.0508,15.7108,18.3199,13.0957,0.4117,12.5847,13.6068,-0.1427,0.0706,-0.2304,-0.055,0.1706,0.0758,0.0765,0.2647
MLP,FORCINA,synergy_hsa,196.9877,40.2066,147.0726,246.9027,13.9616,1.4361,12.1787,15.7444,10.012,0.9157,8.8751,11.1488,0.0316,0.0731,-0.0592,0.1224,0.315,0.0747,0.2223,0.4077
MLP,FORCINA,synergy_loewe,196.5809,38.8104,148.3992,244.7627,13.9515,1.3913,12.2243,15.6788,10.0032,0.8655,8.9287,11.0778,0.033,0.0671,-0.0503,0.1163,0.3139,0.0663,0.2316,0.3962
MLP,FORCINA,synergy_zip,290.6273,35.865,246.1021,335.1525,17.0154,1.0508,15.7108,18.3199,13.0957,0.4117,12.5847,13.6068,-0.1427,0.0706,-0.2304,-0.055,0.1706,0.0758,0.0765,0.2647
MLP,FRIEDMAN,synergy_bliss,117.3463,4.4207,111.8582,122.8345,10.8307,0.2031,10.5787,11.0828,7.9966,0.1107,7.8592,8.134,0.9214,0.0026,0.9182,0.9246,0.9601,0.0013,0.9585,0.9616
MLP,FRIEDMAN,synergy_hsa,106.8152,2.2594,104.0102,109.6201,10.3346,0.1094,10.1987,10.4704,7.665,0.0539,7.598,7.7319,0.722,0.0052,0.7156,0.7285,0.8526,0.0029,0.849,0.8562
MLP,FRIEDMAN,synergy_loewe,138.2319,0.6788,137.3892,139.0746,11.7572,0.0288,11.7214,11.793,8.7821,0.0219,8.7549,8.8093,0.4175,0.0062,0.4098,0.4251,0.6696,0.0043,0.6642,0.675
MLP,FRIEDMAN,synergy_zip,61.3288,1.187,59.8552,62.8025,7.8309,0.0759,7.7367,7.9251,5.6855,0.043,5.6321,5.7389,0.8386,0.0038,0.8338,0.8433,0.9168,0.0018,0.9146,0.9191
MLP,NCATS_2D_3D,synergy_bliss,12.6845,5.4889,5.8702,19.4989,3.4672,0.8144,2.4562,4.4782,2.4947,0.8151,1.4827,3.5067,-2.4993,4.0048,-7.4711,2.4725,-0.0283,0.5756,-0.7429,0.6863
MLP,NCATS_2D_3D,synergy_hsa,17.3908,8.9306,6.3038,28.4778,3.9888,1.2166,2.4785,5.4992,2.7443,0.9314,1.588,3.9006,-1.2831,1.5785,-3.2428,0.6766,-0.0126,0.5636,-0.7123,0.687
MLP,NCATS_2D_3D,synergy_loewe,32.554,24.0081,2.7488,62.3591,5.049,2.6574,1.75,8.348,3.3703,1.8624,1.0581,5.6824,-0.5434,0.5254,-1.1956,0.1089,0.4732,0.371,0.0126,0.9337
MLP,NCATS_2D_3D,synergy_zip,7.406,6.6355,-0.8318,15.6438,2.517,1.0348,1.2324,3.8016,1.938,0.8275,0.9107,2.9654,-3.3651,7.1171,-12.2007,5.4705,0.7459,0.3994,0.2501,1.2417
MLP,NCATS_ES(FAKI_AURKI),synergy_bliss,26.1319,5.2413,19.625,32.6388,5.0886,0.4875,4.4834,5.6939,3.8711,0.2286,3.5873,4.1549,-0.1972,0.0999,-0.3213,-0.0732,0.0853,0.0942,-0.0316,0.2022
